date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2018-07-02,99975.0070167183,1.5500597082655938,0.0,0,9,0.1500295522309067,0,0.00024583,C2,12,0,0,0,0,0,0,11783.77856924861
2018-07-03,98332.97484418076,0.13305023596653381,7.6357513848,0,8,0.15117566008306038,1,0.00024583,C2,12,0,0,0,0,0,0,11783.77856924861
2018-07-04,98681.59256773228,0.3030262994636281,62.35925112879,0,7,0.15117572891581096,1,0.00024583,C2,12,0,0,0,0,0,0,11783.77856924861
2018-07-05,100219.58577411686,0.11019074187424849,318.845168775,0,7,0.15024860672055287,1,0.00024583,C2,12,0,0,0,0,0,0,11783.77856924861
2018-07-06,102865.65370800435,1.444978243933904,15336.289767200402,0,7,0.15002749100110108,1,0.00024583,C2,12,0,0,0,0,0,0,11783.77856924861
2018-07-10,101579.73803411986,0.034875764822847384,191.51689664304,0,8,0.1500428694242208,1,0.00024583,C2,12,0,0,0,0,0,0,11783.77856924861
2018-07-11,100907.69825799912,0.11264803626597596,200.99746258587078,0,8,0.15007793567880245,1,0.00024583,C2,12,1,0,0,0,0,0,11783.77856924861
2018-07-12,102755.18210529901,0.14342232737725538,10234.77585148368,0,9,0.15318706042357605,0,0.00024583,C2,12,1,0,0,0,0,0,11783.77856924861
2018-07-13,101490.65406078947,0.2088752988002134,768.1278954011511,0,9,0.15262545520420018,0,0.00024583,C2,12,1,0,0,0,0,0,11783.77856924861
2018-07-16,103503.83801334974,0.16084427264540055,26972.73964353243,0,7,0.14993899193137505,1,0.00024583,C2,12,1,0,1,0,1,1,11783.77856924861
2018-07-17,105176.97843661874,0.11132289351013724,12424.827990472446,0,6,0.15049266868950237,1,0.00024583,C2,12,1,0,1,0,1,1,11783.77856924861
2018-07-18,105184.31754409231,0.22185219082197544,0.0,0,9,0.1500031125543598,0,0.00024583,C2,12,1,0,1,0,1,1,11783.77856924861
2018-07-19,105865.2036845185,0.22190672874604517,0.0,0,9,0.15357817966909826,0,0.00024583,C2,12,1,0,1,0,1,1,11783.77856924861
2018-07-20,103390.5273621955,0.22196128007717278,482.05861123599374,0,8,0.15324264321658992,1,0.00024583,C2,12,1,0,1,0,0,1,11783.77856924861
