variant,buffer_k,split,equity_final,cagr,mdd,sharpe_excess,sharpe_raw,switches,cash_pct,cost_total,avg_tickers,max_concentration_pct,days_out_9_11,n_defensive_sells_25,n_defensive_sells_50,n_defensive_sells_100,tempo_regime_defensivo_pct,n_quarantine_entries,quarantine_size_final
C1,,HOLDOUT,718893.82,14.106,-26.694,0.1448,0.9631,31,74.177,15225.44,2.182,17.708,120,53,40,111,60.127,191,0
C1,,TRAIN,475353.02,42.29,-37.72,1.1477,1.3608,1,31.57,15225.44,5.892,19.663,349,44,30,87,78.565,151,1
C2,12,HOLDOUT,651867.93,16.225,-25.023,0.2667,1.0702,31,74.177,11783.78,2.258,17.924,107,53,34,112,61.646,183,0
C2,12,TRAIN,406903.0,37.372,-38.893,1.0441,1.2622,1,31.57,11783.78,6.074,19.192,258,45,23,84,78.206,138,1
C2,15,HOLDOUT,672649.63,19.839,-23.038,0.4719,1.2816,31,74.177,10129.84,2.325,17.802,83,51,37,110,59.747,176,0
C2,15,TRAIN,381484.62,35.382,-39.192,1.0104,1.2338,1,31.57,10129.84,6.256,19.403,179,38,25,83,76.502,131,1
C2,20,HOLDOUT,512655.76,18.557,-23.194,0.4052,1.231,31,74.177,7333.77,2.39,16.83,64,43,38,121,60.0,191,1
C2,20,TRAIN,300709.69,28.288,-38.802,0.8428,1.0768,1,31.57,7333.77,6.43,19.618,138,36,29,91,78.475,148,1
C3,,HOLDOUT,421114.86,15.054,-21.142,0.2038,1.0714,31,74.177,3485.17,2.642,16.749,32,47,33,107,89.241,152,1
C3,,TRAIN,271332.43,25.339,-37.152,0.9116,1.2169,1,31.57,3485.17,7.467,18.934,0,36,24,75,77.04,106,1
