date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,target_pct,hard_max_pct,offensive_sell_enabled,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,off_sell_25_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2018-07-02,99975.0070167183,1.5500597082655938,0.0,0,9,0.1500295522309067,0,0.00024583,V2,15,0.15,0.2,1,0,0,0,0,0,0,0,10819.046623898823
2018-07-03,98332.97484418076,0.13305023596653381,7.6357513848,0,8,0.15117566008306038,1,0.00024583,V2,15,0.15,0.2,1,0,0,0,0,0,0,0,10819.046623898823
2018-07-04,98681.60083806848,0.3030262994636281,29.286176625000003,0,8,0.15117571624603168,1,0.00024583,V2,15,0.15,0.2,1,0,0,0,0,0,0,0,10819.046623898823
2018-07-05,100219.82055850637,0.1315537726534089,352.14475087772996,0,7,0.1502482547340176,1,0.00024583,V2,15,0.15,0.2,1,0,0,0,0,0,0,0,10819.046623898823
2018-07-06,102869.09177239226,0.8017692194297125,491.2347094128001,0,8,0.15002785863559,1,0.00024583,V2,15,0.15,0.2,1,0,0,0,0,0,0,0,10819.046623898823
2018-07-10,101366.5805939201,0.028762961402835796,261.67471422668405,0,9,0.15004448459132752,0,0.00024583,V2,15,0.15,0.2,1,0,0,0,0,0,0,0,10819.046623898823
2018-07-11,100360.29447263654,0.019260584013531035,14918.873593195935,0,10,0.1502372648264898,0,0.00024583,V2,15,0.15,0.2,1,1,0,0,0,0,0,0,10819.046623898823
2018-07-12,101868.94192127592,0.12896612575891098,10512.10148481816,0,9,0.15315002103770345,0,0.00024583,V2,15,0.15,0.2,1,1,0,0,0,0,0,0,10819.046623898823
2018-07-13,98153.33323589966,0.1435089387004763,1990.421580456461,0,9,0.15227422519445735,0,0.00024583,V2,15,0.15,0.2,1,1,0,0,0,0,0,0,10819.046623898823
2018-07-16,101122.63938043157,0.08317095591621457,32041.27148618931,0,7,0.149990737234308,1,0.00024583,V2,15,0.15,0.2,1,1,0,1,0,0,1,1,10819.046623898823
2018-07-17,102612.50782262643,0.13587378231332167,17586.037365472446,0,7,0.15075701417282686,1,0.00024583,V2,15,0.15,0.2,1,1,0,1,0,0,1,1,10819.046623898823
2018-07-18,102532.0924781488,0.08556261098889083,0.0,0,9,0.15124555088256775,0,0.00024583,V2,15,0.15,0.2,1,1,0,1,0,0,1,1,10819.046623898823
2018-07-19,103192.18385111316,0.08558364484555021,504.505004876,0,9,0.15006823410847198,0,0.00024583,V2,15,0.15,0.2,1,1,0,1,0,0,1,1,10819.046623898823
2018-07-20,100785.75482530969,0.08155479615551238,983.8496823734251,0,8,0.1532371284104489,1,0.00024583,V2,15,0.15,0.2,1,1,0,1,0,0,0,1,10819.046623898823
2018-07-23,101304.85194673792,0.07144476190745117,14806.218074122617,0,9,0.15255745417579336,0,0.00024583,V2,15,0.15,0.2,1,1,0,2,0,0,1,2,10819.046623898823
2018-07-24,98133.1970587263,0.22553396121479977,10380.7653217145,0,7,0.15001792073802508,1,0.00024583,V2,15,0.15,0.2,1,1,0,2,0,0,0,2,10819.046623898823
2018-07-25,98593.2617827068,0.17013191887120463,441.35849806368003,0,7,0.1509217491231223,1,0.00024583,V2,15,0.15,0.2,1,1,0,2,0,0,0,2,10819.046623898823
2018-07-26,98339.93226067643,0.1465246880251604,14544.39633303901,0,7,0.17243338146883894,1,0.00024583,V2,15,0.15,0.2,1,1,0,2,0,0,0,2,10819.046623898823
2018-07-27,96034.58627977064,0.22816380101944017,26287.159521762922,0,8,0.15000162814503049,1,0.00024583,V2,15,0.15,0.2,1,1,0,2,2,1,2,4,10819.046623898823
2018-07-30,95003.0429904586,0.05936629753748037,25828.49234869532,0,10,0.15541311579601572,0,0.00024583,V2,15,0.15,0.2,1,1,0,2,4,1,4,6,10819.046623898823
2018-07-31,94944.63698639882,12.348000039883253,11179.370563384578,0,10,0.15507171649057666,0,0.00024583,V2,15,0.15,0.2,1,1,0,2,5,1,3,7,10819.046623898823
2018-08-01,95524.1617496373,1.4952011811805541,848.9830953314549,0,10,0.1500810965771645,0,0.00024583,V2,15,0.15,0.2,1,1,0,2,5,1,2,7,10819.046623898823
2018-08-02,97205.77251136718,157.82653611951915,212.00066925932998,0,10,0.1501321504847882,0,0.00024583,V2,15,0.15,0.2,1,0,0,2,5,1,0,7,10819.046623898823
2018-08-03,96036.73766387608,154.85949900122796,14364.002649973958,0,10,0.1537781368593393,0,0.00024583,V2,15,0.15,0.2,1,0,0,2,5,1,0,7,10819.046623898823
2018-08-06,96637.41065709239,7.6538450685310355,128.89877141562502,0,10,0.15666020608178316,0,0.00024583,V2,15,0.15,0.2,1,1,0,2,5,1,0,7,10819.046623898823
2018-08-07,96789.9569015598,15.453416614821768,805.2350770729545,0,10,0.1509795807037686,0,0.00024583,V2,15,0.15,0.2,1,1,0,2,5,1,0,7,10819.046623898823
2018-08-08,96155.39693223604,1.3536028352842329,13845.809392944278,0,10,0.15019633978712502,0,0.00024583,V2,15,0.15,0.2,1,1,0,2,5,1,0,7,10819.046623898823
2018-08-09,97190.5408325626,2.445723140752396,11758.478500108517,0,10,0.15073143208697723,0,0.00024583,V2,15,0.15,0.2,1,1,0,2,6,1,1,8,10819.046623898823
2018-08-10,103417.05075858449,0.1299907352989867,32426.247316375666,0,10,0.14999591175938037,0,0.00024583,V2,15,0.15,0.2,1,0,0,2,6,1,1,8,10819.046623898823
2018-08-13,104865.943530419,0.22681760464749648,38.8932620337,0,10,0.15514362888730113,0,0.00024583,V2,15,0.15,0.2,1,0,0,2,6,2,1,8,10819.046623898823
2018-08-14,106418.56972745,6.2293810952716155,1075.3965127747172,0,10,0.15039998018195053,0,0.00024583,V2,15,0.15,0.2,1,0,0,2,6,2,1,8,10819.046623898823
2018-08-15,105442.27561657742,0.04053814780090849,4052.619073355632,0,9,0.15148268543711899,0,0.00024583,V2,15,0.15,0.2,1,1,0,2,6,3,1,8,10819.046623898823
2018-08-16,104651.12960942645,0.1802877373579652,15392.45411940953,0,10,0.15024028815245363,0,0.00024583,V2,15,0.15,0.2,1,1,0,2,6,3,0,8,10819.046623898823
2018-08-17,106694.59831845853,0.22383387959575649,26383.321008493953,0,8,0.15263184210149128,1,0.00024583,V2,15,0.15,0.2,1,1,0,2,6,3,0,8,10819.046623898823
2018-08-20,106922.89931665524,0.1546854871486006,447.09274419700006,0,10,0.15010956340730797,0,0.00024583,V2,15,0.15,0.2,1,1,0,2,6,3,0,8,10819.046623898823
2018-08-21,108285.90618383116,4.768009015733621,778.0492447935637,0,10,0.15004583091743168,0,0.00024583,V2,15,0.15,0.2,1,0,0,2,6,3,0,8,10819.046623898823
2018-08-22,110778.22600356085,626.038077472704,613.66349636235,0,10,0.15007347788242797,0,0.00024583,V2,15,0.15,0.2,1,0,0,2,6,3,0,8,10819.046623898823
2018-08-23,112346.46094372992,969.5019931695628,1116.955973279475,0,10,0.15009351051739647,0,0.00024583,V2,15,0.15,0.2,1,0,0,2,6,3,0,8,10819.046623898823
2018-08-24,114417.37965626222,1134.0925751839109,27619.68908269209,0,10,0.15104698300136354,0,0.00024583,V2,15,0.15,0.2,1,0,0,2,6,3,0,8,10819.046623898823
