date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,out_of_target_band,n_rebalance_sells_cum,n_concentration_trims_cum
2018-07-02,99975.0070167183,1.5500597082655938,0.0,0,9,0.1500295522309067,0,0.00024583,C01,15,0,0,0,0,0,0,10868.652008197152,10,15,1,0.15,0.2,0.2,1,1,0,0,0,0
2018-07-03,98332.97484418076,0.1330502359665338,7.6357513848,0,8,0.1511756600830603,1,0.00024583,C01,15,0,0,0,0,0,0,10868.652008197152,10,15,1,0.15,0.2,0.2,1,2,0,1,1,0
2018-07-04,98681.60083806848,0.3030262994636281,29.286176625000003,0,8,0.1511757162460316,1,0.00024583,C01,15,0,0,0,0,0,0,10868.652008197152,10,15,1,0.15,0.2,0.2,1,3,0,1,1,1
2018-07-05,100219.82055850636,0.1315537726534089,352.14475087773,0,7,0.1502482547340176,1,0.00024583,C01,15,0,0,0,0,0,0,10868.652008197152,10,15,1,0.15,0.2,0.2,1,4,0,1,2,2
2018-07-06,102869.09177239226,0.8017692194297125,491.2347094128001,0,8,0.15002785863559,1,0.00024583,C01,15,0,0,0,0,0,0,10868.652008197152,10,15,1,0.15,0.2,0.2,1,5,0,1,2,4
2018-07-10,101366.5805939201,0.0287629614028357,261.67471422668405,0,9,0.1500444845913275,0,0.00024583,C01,15,0,0,0,0,0,0,10868.652008197152,10,15,1,0.15,0.2,0.2,1,6,0,0,2,6
2018-07-11,100360.29447263654,0.019260584013531,14918.873593195936,0,10,0.1502372648264898,0,0.00024583,C01,15,1,0,0,0,0,0,10868.652008197152,10,15,1,0.15,0.2,0.2,1,7,0,0,4,7
2018-07-12,101868.94192127592,0.1289661257589109,10512.10148481816,0,9,0.1531500210377034,0,0.00024583,C01,15,1,0,0,0,0,0,10868.652008197152,10,15,1,0.15,0.2,0.2,1,8,0,0,6,8
2018-07-13,98153.33323589966,0.1435089387004763,1990.421580456461,0,9,0.1522742251944573,0,0.00024583,C01,15,1,0,0,0,0,0,10868.652008197152,10,15,1,0.15,0.2,0.2,1,9,0,0,7,11
2018-07-16,101122.63938043156,0.0831709559162145,32041.27148618931,0,7,0.149990737234308,1,0.00024583,C01,15,1,0,1,0,1,1,10868.652008197152,10,15,1,0.15,0.2,0.2,1,10,0,1,10,11
2018-07-17,102612.50782262644,0.1358737823133216,17586.037365472446,0,7,0.1507570141728268,1,0.00024583,C01,15,1,0,1,0,1,1,10868.652008197152,10,15,1,0.15,0.2,0.2,1,11,0,1,11,11
2018-07-18,102532.0924781488,0.0855626109888908,0.0,0,9,0.1512455508825677,0,0.00024583,C01,15,1,0,1,0,1,1,10868.652008197152,10,15,1,0.15,0.2,0.2,1,12,0,0,11,11
2018-07-19,103192.18385111316,0.0855836448455502,504.505004876,0,9,0.1500682341084719,0,0.00024583,C01,15,1,0,1,0,1,1,10868.652008197152,10,15,1,0.15,0.2,0.2,1,13,0,0,11,12
2018-07-20,100785.75482530968,0.0815547961555123,983.8496823734253,0,8,0.1532371284104489,1,0.00024583,C01,15,1,0,1,0,0,1,10868.652008197152,10,15,1,0.15,0.2,0.2,1,14,0,1,12,13
2018-07-23,101304.85194673792,0.0714447619074511,14806.218074122617,0,9,0.1525574541757933,0,0.00024583,C01,15,1,0,2,0,1,2,10868.652008197152,10,15,1,0.15,0.2,0.2,1,15,0,0,13,14
