date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2018-07-02,99975.0070167183,1.5500597082655938,0.0,0,9,0.1500295522309067,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,1,1,0,0,0,0,0,0,0,0,0,2474.4607497746583
2018-07-03,98332.97745611944,1.5504407594436767,0.0,0,9,0.15117565606750463,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,1,0,0,0,0,0,0,0,0,2474.4607497746583
2018-07-04,98681.63500396832,1.5508219042955704,0.0,0,9,0.15117566390544795,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,2,0,0,0,0,0,0,0,0,2474.4607497746583
2018-07-05,100220.80615025484,1.5512031428443032,0.0,0,9,0.153504349954392,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,3,0,0,0,0,0,0,0,0,2474.4607497746583
2018-07-06,102890.16634399511,1.5515844751129084,0.0,0,9,0.15810784709601572,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,4,0,0,0,0,0,0,0,0,2474.4607497746583
2018-07-10,101393.06359502513,1.5519659011244253,0.0,0,9,0.15894912456112778,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,5,0,0,0,0,0,0,0,0,2474.4607497746583
2018-07-11,100384.2805363409,1.5523474209018986,0.0,0,9,0.1576865835684256,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,6,0,0,1,0,0,0,0,0,2474.4607497746583
2018-07-12,102349.22867063446,1.5527290344683788,0.0,0,9,0.15801826411458134,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,7,0,0,1,0,0,0,0,0,2474.4607497746583
2018-07-13,102111.95545591683,1.553110741846922,0.0,0,9,0.15634214967748863,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,8,0,0,1,0,0,0,0,0,2474.4607497746583
2018-07-16,101910.91272343605,1.5534925430605901,0.0,0,9,0.15895136260294535,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,9,0,0,1,0,0,0,0,0,2474.4607497746583
2018-07-17,102597.60235638515,1.5538744381324505,0.0,0,9,0.16103220051732317,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,10,0,0,1,0,0,0,0,0,2474.4607497746583
2018-07-18,101826.9285303951,1.5542564270855765,0.0,0,9,0.16123304492680743,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,11,0,0,1,0,0,0,0,0,2474.4607497746583
2018-07-19,102091.20364307896,1.5546385099430469,0.0,0,9,0.16102565165872118,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,12,0,0,1,0,0,0,0,0,2474.4607497746583
2018-07-20,99409.44777597675,1.555020686727946,0.0,0,9,0.16054890897761237,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,13,0,0,1,0,0,0,0,0,2474.4607497746583
2018-07-23,99437.32915091749,1.555402957463364,0.0,0,9,0.16193140644457293,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,14,0,0,1,0,0,0,0,0,2474.4607497746583
2018-07-24,95992.91328792415,1.5557853221723972,0.0,0,9,0.16356889663463556,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,15,0,0,1,0,0,0,0,0,2474.4607497746583
2018-07-25,96901.83615626088,1.5561677808781467,14503.46314752,0,8,0.16452438707447475,1,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,16,0,0,1,0,0,1,1,1,2474.4607497746583
2018-07-26,98427.58657244715,14508.585084199158,0.0,0,8,0.1758382461050289,1,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,17,0,0,1,0,0,1,1,1,2474.4607497746583
2018-07-27,96994.11254376941,14512.151729670404,14458.643543223001,0,8,0.18378349504415442,1,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,18,0,0,0,0,0,2,1,2,2474.4607497746583
2018-07-30,96151.13772526535,28977.917163495335,0.0,0,8,0.19004721852291087,1,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,1,19,0,0,0,0,0,2,1,2,2474.4607497746583
2018-07-31,95772.60947221637,0.0056897770630952105,38906.97512540463,0,9,0.1500189094035082,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,1,2,19,5,1,0,0,0,2,1,2,2474.4607497746583
2018-08-01,96306.82655263881,38916.54531827548,0.0,0,9,0.1501752636620723,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,20,5,1,0,0,0,2,1,2,2474.4607497746583
2018-08-02,97450.84354031051,38926.112172611065,0.0,0,9,0.15170140535744228,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,21,5,1,0,0,0,2,1,2,2474.4607497746583
2018-08-03,96209.09943672588,38935.68137876645,0.0,0,9,0.1503455567909109,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,22,5,1,0,0,0,2,1,2,2474.4607497746583
2018-08-06,96928.1205135829,38945.25293731979,0.0,0,9,0.1557241060439712,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,23,5,1,1,0,0,2,1,2,2474.4607497746583
2018-08-07,97203.56612445804,38954.82684884937,0.0,0,9,0.15591852001185516,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,24,5,1,1,0,0,2,0,2,2474.4607497746583
2018-08-08,96363.11236169463,38964.40311393362,0.0,0,9,0.1591400930465994,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,25,5,1,1,0,0,2,0,2,2474.4607497746583
2018-08-09,96560.77259769944,38973.981733151115,12682.360499251667,0,9,0.15703101753518137,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,26,5,1,1,0,0,3,1,3,2474.4607497746583
2018-08-10,102167.76070378441,51669.04091101376,0.0,0,9,0.19669499340638502,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,27,5,1,1,0,0,3,1,3,2474.4607497746583
2018-08-13,103010.47425012891,51681.742711340914,0.0,0,9,0.19424073530956457,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,28,5,1,1,0,0,3,1,3,2474.4607497746583
2018-08-14,104284.06909912764,51694.447634151635,0.0,0,9,0.20211088855350695,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,29,5,1,1,0,0,3,1,3,2474.4607497746583
2018-08-15,102911.33126800397,51707.15568021353,0.0,0,9,0.19670862241697476,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,30,5,1,1,0,0,3,0,3,2474.4607497746583
2018-08-16,102239.59283154772,51719.86685029439,0.0,0,9,0.19721421188424706,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,31,5,1,1,0,0,3,0,3,2474.4607497746583
2018-08-17,102782.90433283409,51732.58114516219,0.0,0,9,0.1965478519645755,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,32,5,1,1,0,0,3,0,3,2474.4607497746583
2018-08-20,102946.04690918955,51745.2985655851,0.0,0,9,0.19604966406027577,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,33,5,1,1,0,0,3,0,3,2474.4607497746583
2018-08-21,104742.6148595458,51758.01911233147,0.0,0,9,0.20055625653663475,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,34,5,1,0,0,0,3,0,3,2474.4607497746583
2018-08-22,106468.93747520985,51770.74278616985,0.0,0,9,0.20261011496374454,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,35,5,1,0,0,0,3,0,3,2474.4607497746583
2018-08-23,108937.84729275477,51783.469587868974,0.0,0,9,0.20867103139738535,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,36,5,1,0,0,0,3,0,3,2474.4607497746583
2018-08-24,111019.89576111041,51796.199518197755,0.0,0,9,0.20787532884600482,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,37,5,1,0,0,0,3,0,3,2474.4607497746583
2018-08-27,112462.04746129576,51808.932577925305,0.0,0,9,0.20639457431959296,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,2,38,5,1,1,0,0,3,0,3,2474.4607497746583
2018-08-28,113081.56795161459,0.2881690714204665,27068.759144949705,0,10,0.15010483783938056,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,1,3,38,11,3,1,0,0,3,0,3,2474.4607497746583
2018-08-29,114392.76453041763,27075.701697922326,0.0,0,10,0.1524082407796352,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,39,11,3,1,0,0,3,0,3,2474.4607497746583
2018-08-30,114342.70942255834,27082.357717670722,0.0,0,10,0.15357789978462358,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,40,11,3,1,0,0,3,0,3,2474.4607497746583
2018-08-31,114164.05522433516,27089.015373668455,0.0,0,10,0.15210858981898198,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,41,11,3,1,0,0,3,0,3,2474.4607497746583
2018-09-03,114339.43520353806,27095.674666317762,0.0,0,10,0.15160350105204667,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,42,11,3,1,0,0,3,0,3,2474.4607497746583
2018-09-04,117772.85878457388,27102.33559602098,0.0,0,10,0.16324662509184382,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,43,11,3,1,0,0,3,0,3,2474.4607497746583
2018-09-05,116040.96358762129,27108.99816318055,0.0,0,10,0.16816633973196068,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,44,11,3,1,0,0,3,0,3,2474.4607497746583
2018-09-06,115507.68971930114,27115.662368199002,0.0,0,10,0.16438172494092612,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,45,11,3,1,0,0,3,0,3,2474.4607497746583
2018-09-10,117689.83515571215,27122.328211478973,0.0,0,10,0.17132110268336448,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,46,11,3,1,0,0,3,0,3,2474.4607497746583
2018-09-11,119529.8147502185,27128.995693423196,0.0,0,10,0.17249531414472732,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,47,11,3,1,0,0,3,0,3,2474.4607497746583
2018-09-12,120699.82010970116,27135.664814434505,0.0,0,10,0.18112095606796116,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,48,11,3,1,0,0,3,0,3,2474.4607497746583
2018-09-13,120414.64414241667,27142.335574915836,8.651393110874999,0,9,0.17337281026474508,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,49,11,3,1,0,0,4,1,4,2474.4607497746583
2018-09-14,122236.26404060566,27157.661495153057,0.0,0,9,0.1844061633666427,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,50,11,3,1,0,0,4,1,4,2474.4607497746583
2018-09-17,119981.78055872841,27164.337663078408,0.0,0,9,0.18538796039630753,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,51,11,3,1,0,0,4,1,4,2474.4607497746583
2018-09-18,119404.82592428161,27171.01547220612,0.0,0,9,0.18197761295074497,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,52,11,3,1,0,0,4,1,4,2474.4607497746583
2018-09-19,118408.96155114748,27177.69492293965,0.0,0,9,0.1792920839891807,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,53,11,3,1,0,0,4,0,4,2474.4607497746583
2018-09-20,117441.30141497211,27184.376015682552,0.0,0,9,0.17904955082794452,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,54,11,3,1,0,0,4,0,4,2474.4607497746583
2018-09-21,116729.76625716881,27191.058750838485,0.0,0,9,0.17804064702925473,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,55,11,3,1,0,0,4,0,4,2474.4607497746583
2018-09-24,117636.0250870711,27197.743128811202,0.0,0,9,0.18511354899047264,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,56,11,3,1,0,0,4,0,4,2474.4607497746583
2018-09-25,121280.35612695235,27204.429150004555,0.0,0,9,0.1823878926925761,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,3,57,11,3,1,0,0,4,0,4,2474.4607497746583
2018-09-26,119114.45548465835,0.09094665375272652,21156.126782215877,0,9,0.1500671541797232,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,1,4,57,12,5,0,0,0,4,0,4,2474.4607497746583
2018-09-27,118101.53892273041,4316.089842468085,16841.18865,0,9,0.15142955901024205,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,4,58,12,5,0,0,0,4,0,4,2474.4607497746583
2018-09-28,116239.21891486876,21162.479586239886,0.0,0,9,0.15220792873006986,0,0.00024583,C20,10,15,20,0.15,0.2,0.2,0,4,59,12,5,1,0,0,4,0,4,2474.4607497746583
2018-10-01,114169.52095155581,21167.68978871402,0.0,0,9,0.15170298146910094,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,60,12,5,1,0,0,4,0,4,2474.4607497746583
2018-10-02,109584.00489114044,21172.901273940002,0.0,0,9,0.15446254238303048,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,61,12,5,1,0,0,4,0,4,2474.4607497746583
2018-10-03,107668.02336650132,21178.114042233647,14980.622303401125,0,9,0.15700260366495572,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,62,12,5,1,0,0,5,1,5,2474.4607497746583
2018-10-04,106913.59083935671,36167.638626523076,1943.3703372496686,0,9,0.1575852037868133,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,63,12,5,1,1,0,5,1,6,2474.4607497746583
2018-10-05,105796.18080624579,38120.39189417963,0.0,0,9,0.15633002887211592,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,64,12,5,1,1,0,5,1,6,2474.4607497746583
2018-10-08,104019.40921702611,38129.77713466398,0.0,0,9,0.16580305665855502,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,65,12,5,1,1,0,5,1,6,2474.4607497746583
2018-10-09,106279.59712389184,38139.16468579454,5461.861246486688,0,9,0.18996609458788927,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,66,12,5,1,1,0,6,1,7,2474.4607497746583
2018-10-10,103611.43755109908,43611.76050486576,0.0,0,9,0.18954617814577046,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,67,12,5,1,1,0,6,1,7,2474.4607497746583
2018-10-11,104210.65279166831,43622.49772030206,5053.1364,0,9,0.14550527795189386,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,68,12,5,1,2,0,6,2,8,2474.4607497746583
2018-10-15,106713.45175847848,43633.237579240806,5933.911530355201,0,8,0.15393373308904212,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,69,12,5,1,2,0,7,3,9,2474.4607497746583
2018-10-16,108314.05370836469,49579.352541706794,0.0,0,8,0.14893690567094148,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,70,12,5,0,2,0,7,2,9,2474.4607497746583
2018-10-17,108039.24471953767,49591.558978302564,0.0,0,8,0.14908182708803489,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,71,12,5,0,2,0,7,2,9,2474.4607497746583
2018-10-18,107777.95965175197,49603.76842012303,0.0,0,8,0.1534294400583524,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,72,12,5,1,2,0,7,2,9,2474.4607497746583
2018-10-19,108521.69115324398,49615.98086790807,0.0,0,8,0.16774769916084034,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,73,12,5,1,2,0,7,0,9,2474.4607497746583
2018-10-22,110507.0619123705,49628.19632239775,0.0,0,8,0.1763590820598801,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,74,12,5,1,2,0,7,0,9,2474.4607497746583
2018-10-23,109895.18473309878,49640.41478433233,0.0,0,8,0.1736232578919655,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,75,12,5,1,2,0,7,0,9,2474.4607497746583
2018-10-24,107086.33527151783,49652.636254452234,0.0,0,8,0.17542406276551756,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,4,76,12,5,1,2,0,7,0,9,2474.4607497746583
2018-10-25,107432.31473812481,0.07793656048635951,41654.786266072326,0,10,0.15003307002450741,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,1,5,76,18,6,1,2,1,8,1,10,2474.4607497746583
2018-10-26,100301.79266031984,39334.968628228846,2329.677435,0,10,0.16033212940133226,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,77,18,6,1,2,2,8,2,11,2474.4607497746583
2018-10-29,101592.31204566777,41674.80389947577,0.19995000000000002,0,10,0.17433327033682022,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,78,18,6,1,2,3,8,1,12,2474.4607497746583
2018-10-30,100228.398271302,41685.16423580967,0.09997500000000001,0,10,0.16930730504209587,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,79,18,6,1,3,4,8,1,12,2474.4607497746583
2018-10-31,99423.19492300671,41695.52712285837,642.7992599999999,0,10,0.17153904592592661,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,80,18,6,0,3,6,8,2,13,2474.4607497746583
2018-11-01,100376.64813276101,41705.79256163602,642.7992599999999,0,10,0.1747398456342292,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,81,18,6,0,3,6,8,2,13,2474.4607497746583
2018-11-05,100799.4279827025,42359.01804494251,0.0,0,10,0.18390977380527576,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,82,18,6,0,3,6,8,2,13,2474.4607497746583
2018-11-06,98587.1358988625,42369.446835185176,0.0,0,10,0.17646521365472317,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,83,18,6,1,3,6,8,2,13,2474.4607497746583
2018-11-07,100116.85993485467,42379.878192996,0.0,0,10,0.1823149468718552,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,84,18,6,1,3,7,8,1,13,2474.4607497746583
2018-11-08,99269.30884096879,42390.312119007125,0.0,0,10,0.18502073011734244,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,85,18,6,1,3,8,8,1,13,2474.4607497746583
2018-11-09,98491.00123378707,42400.748613850825,0.45959611423950003,0,10,0.18445583629388243,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,86,18,6,1,3,10,8,2,14,2474.4607497746583
2018-11-12,97833.06026853702,42411.64738742636,0.0,0,10,0.18365570851695368,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,87,18,6,1,3,11,8,1,14,2474.4607497746583
2018-11-13,94594.70585957848,42422.08913501315,0.0,0,10,0.18270705366594195,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,88,18,6,1,3,12,8,1,14,2474.4607497746583
2018-11-14,94744.89482727552,42432.53345335819,0.0,0,10,0.18964188025915057,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,89,18,6,1,4,12,8,1,14,2474.4607497746583
2018-11-16,95104.92340971109,42442.980343094416,0.0,0,10,0.18562530063714217,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,90,18,6,1,5,12,8,1,14,2474.4607497746583
2018-11-19,94677.81716747221,42453.42980485489,0.0,0,10,0.18917377413041378,0,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,91,18,6,1,6,12,8,1,14,2474.4607497746583
2018-11-21,94503.98302848471,42463.88183927285,17.452292395860002,0,8,0.18921996117994436,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,92,18,6,1,7,13,10,3,16,2474.4607497746583
2018-11-22,95409.79637099092,42491.79303613193,0.0,0,8,0.19698899604521605,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,93,18,6,1,8,13,10,3,16,2474.4607497746583
2018-11-23,93922.07231231243,42502.25451557743,0.0,0,8,0.19433983461635357,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,94,18,6,1,9,13,10,2,16,2474.4607497746583
2018-11-26,94580.62976633917,42512.71857063917,0.0,0,8,0.1902727867689113,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,5,95,18,6,0,10,13,10,2,16,2474.4607497746583
2018-11-27,95183.90547106575,0.7784334923242271,24591.725337573433,0,7,0.15003744518910522,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,1,6,95,23,7,0,10,13,10,2,16,2474.4607497746583
2018-11-28,95390.21358672218,1.2824294721769163,24591.22165725,0,7,0.15018448393530093,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,96,23,7,0,10,13,10,2,16,2474.4607497746583
2018-11-29,96367.30436122834,24598.55876122833,0.0,0,7,0.15015154461269362,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,97,23,7,0,10,13,10,2,16,2474.4607497746583
2018-11-30,96785.24952639535,24604.61492639535,0.0,0,7,0.1503297276309857,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,98,23,7,0,10,13,10,2,16,2474.4607497746583
2018-12-03,98727.34388259023,24610.67258259023,0.0,0,7,0.16401535140312298,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,99,23,7,0,10,13,10,2,16,2474.4607497746583
2018-12-04,98312.49383018006,24616.731730180065,0.0,0,7,0.1621910845588281,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,100,23,7,0,10,13,10,2,16,2474.4607497746583
2018-12-05,98408.38036953204,24622.79236953204,0.0,0,7,0.16226158727579038,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,101,23,7,1,10,13,10,2,16,2474.4607497746583
2018-12-06,98684.14800101341,24628.85450101342,0.0,0,7,0.1647708403971124,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,102,23,7,1,10,13,10,1,16,2474.4607497746583
2018-12-07,99682.27442499157,24634.91812499157,0.0,0,7,0.17327373497077447,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,103,23,7,1,10,13,10,1,16,2474.4607497746583
2018-12-10,99222.46324183395,24640.983241833947,0.0,0,7,0.18450318004483388,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,104,23,7,1,10,13,10,1,16,2474.4607497746583
2018-12-11,98547.23255190809,24647.049851908087,0.0,0,7,0.1791491201003611,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,105,23,7,1,10,13,10,1,16,2474.4607497746583
2018-12-12,100558.61025558162,24653.117955581627,0.0,0,7,0.1845117981726495,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,106,23,7,1,10,13,10,1,16,2474.4607497746583
2018-12-13,100783.86185322229,24659.187553222295,0.0,0,7,0.1852151689442647,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,107,23,7,1,10,13,10,1,16,2474.4607497746583
2018-12-14,101204.3808451979,24665.2586451979,0.0,0,7,0.18555669075950934,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,108,23,7,0,10,13,10,1,16,2474.4607497746583
2018-12-17,99699.93503187635,24671.33123187635,0.0,0,7,0.1851986161685717,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,109,23,7,0,10,13,10,1,16,2474.4607497746583
2018-12-18,99391.11321362563,24677.40531362564,0.0,0,7,0.17694922042174044,1,0.0002462,C20,10,15,20,0.15,0.2,0.2,0,6,110,23,7,1,10,13,10,1,16,2474.4607497746583
