date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt,buffer_k,is_rebalance_day
2018-07-03,C01,D1EX34,rebalance_sell,,,1.0,4,7.6357513848,0.0019094152,2018-07-04,15.0,1
2018-07-04,C01,A1MD34,concentration_trim,,,,4,29.286176625000003,0.007323375,2018-07-05,15.0,1
2018-07-05,C01,AMZO34,rebalance_sell,,,1.0,2,33.29958210273,0.00832697727,2018-07-06,15.0,1
2018-07-05,C01,A1MD34,concentration_trim,,,,42,318.845168775,0.079731225,2018-07-06,15.0,1
2018-07-06,C01,A1MD34,concentration_trim,,,,58,465.5938764240001,0.116427576,2018-07-10,15.0,1
2018-07-06,C01,NFLX34,concentration_trim,,,,8,25.640832988800003,0.0064118112,2018-07-10,15.0,1
2018-07-10,C01,A1MD34,concentration_trim,,,,10,79.52768810625001,0.01988689375,2018-07-11,15.0,1
2018-07-10,C01,NFLX34,concentration_trim,,,,57,182.147026120434,0.045548143566,2018-07-11,15.0,1
2018-07-11,C01,NFLX34,concentration_trim,,,,76,244.40469470721004,0.06111645279,2018-07-12,15.0,1
2018-07-11,C01,N1TA34,rebalance_sell,,,1.0,48,14672.854213164,3.669130836,2018-07-12,15.0,1
2018-07-11,C01,C1GP34,rebalance_sell,,,1.0,1,1.6146853247257498,0.00040377227425,2018-07-12,15.0,1
2018-07-12,C01,D1VN34,rebalance_sell,,,1.0,60,10162.15794522,2.5411747800000004,2018-07-13,15.0,1
2018-07-12,C01,ORLY34,rebalance_sell,,,1.0,1,0.23622628866,5.907134e-05,2018-07-13,15.0,1
2018-07-12,C01,A1LG34,concentration_trim,,,,1,349.7073133095,0.0874486905,2018-07-13,15.0,1
2018-07-13,C01,ORLY34,rebalance_sell,,,1.0,4,0.952973686035,0.000238302997258,2018-07-16,15.0,1
2018-07-13,C01,A1LG34,concentration_trim,,,,2,703.917489121875,0.176023378125,2018-07-16,15.0,1
2018-07-13,C01,A1MD34,concentration_trim,,,,57,449.0342827326562,0.1122866423437499,2018-07-16,15.0,1
2018-07-13,C01,T2TD34,concentration_trim,,,,2294,836.516834915895,0.209181504105,2018-07-16,15.0,1
2018-07-16,C01,ORLY34,rebalance_sell,,,1.0,2,0.4733156625915,0.0001183585052741,2018-07-17,15.0,1
2018-07-16,C01,NFLX34,rebalance_sell,,,1.0,4680,14457.69504552672,3.61532759328,2018-07-17,15.0,1
2018-07-16,C01,FHER3,rebalance_sell,,,1.0,101,8835.290625,2.209375,2018-07-18,15.0,1
2018-07-16,C01,FHER3,defensive_sell,5.0,-2.9515306901626364,0.5,100,8747.8125,2.1875,2018-07-18,15.0,1
2018-07-17,C01,NFLX34,rebalance_sell,,,1.0,1,2.934240472446,0.000733743554,2018-07-18,15.0,1
2018-07-19,C01,A2XO34,concentration_trim,,,,32,504.505004876,0.1261577906666666,2018-07-20,15.0,1
2018-07-20,C01,AMZO34,rebalance_sell,,,1.0,52,890.8643615166751,0.222771783325,2018-07-23,15.0,1
2018-07-20,C01,A2XO34,concentration_trim,,,,6,92.98532085674998,0.0232521432499999,2018-07-23,15.0,1
2018-07-23,C01,ORLY34,defensive_sell,5.0,-1.7914777335092882,0.5,16,3.90670442418,0.000976920336129,2018-07-24,15.0,1
2018-07-23,C01,L1UL34,rebalance_sell,,,1.0,123,14613.061737270937,3.6541789790625,2018-07-24,15.0,1
2018-07-23,C01,A2XO34,concentration_trim,,,,12,189.2496324275,0.0473242391666666,2018-07-24,15.0,1
2018-07-24,C01,D1EX34,concentration_trim,,,,89,169.56726720759372,0.0424024174062499,2018-07-25,15.0,1
2018-07-24,C01,L1YV34,rebalance_sell,,,1.0,240,9313.274891052,2.328900948,2018-07-25,15.0,1
2018-07-24,C01,L1UL34,rebalance_sell,,,1.0,1,115.138903576125,0.028791923875,2018-07-25,15.0,1
2018-07-24,C01,D1EL34,rebalance_sell,,,1.0,8,782.78425987878,0.19574500122,2018-07-25,15.0,1
2018-07-25,C01,D1EL34,rebalance_sell,,,1.0,1,97.6917437568,0.0244290432,2018-07-26,15.0,1
2018-07-25,C01,D1EX34,concentration_trim,,,,41,78.89943180959999,0.0197297904,2018-07-26,15.0,1
2018-07-25,C01,T2TD34,concentration_trim,,,,766,264.76732249728,0.06620838272,2018-07-26,15.0,1
