variant,split,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct,hard_max_pct,max_weight_cap_param,equity_final,cagr,mdd,sharpe_excess,sharpe_raw,switches,cash_pct,cost_total,avg_tickers,max_concentration_pct,days_out_target_band,n_defensive_sells_25,n_defensive_sells_50,n_defensive_sells_100,n_rebalance_days,n_non_rebalance_days,n_rebalance_sells,n_concentration_trims,tempo_regime_defensivo_pct,n_quarantine_entries,quarantine_size_final
C01,HOLDOUT,10,15,1,15.0,20.0,0.2,672786.85,18.555,-18.687,0.3837,1.1532,31,72.167,10868.65,2.544,17.71,75,42,32,115,812,0,385,289,90.887,176,1
C01,TRAIN,10,15,1,15.0,20.0,0.2,388828.88,35.967,-38.425,1.0412,1.269,1,31.57,10868.65,6.246,19.328,200,34,19,84,1115,0,1025,821,75.874,129,1
C07,HOLDOUT,10,15,7,15.0,20.0,0.2,372055.57,17.178,-13.505,0.3165,1.1183,31,71.902,3716.47,2.281,22.745,165,38,31,104,116,699,131,41,63.19,153,0
C07,TRAIN,10,15,7,15.0,20.0,0.2,222847.64,19.88,-33.799,0.5993,0.8418,1,31.57,3716.47,5.678,27.424,411,27,26,83,160,955,331,151,79.552,119,1
C08,HOLDOUT,10,15,8,15.0,20.0,0.2,468832.07,12.993,-14.47,0.0777,0.8751,31,71.902,4195.71,2.483,23.641,133,35,34,98,102,713,124,37,91.656,158,1
C08,TRAIN,10,15,8,15.0,20.0,0.2,315817.13,29.719,-27.927,1.0018,1.2784,1,31.57,4195.71,5.813,21.321,359,23,28,76,140,975,292,132,78.834,120,3
C10,HOLDOUT,10,15,10,15.0,20.0,0.2,646295.12,19.635,-14.26,0.4514,1.2507,31,71.902,4581.19,2.337,27.379,180,33,35,88,81,734,106,25,81.718,137,1
C10,TRAIN,10,15,10,15.0,20.0,0.2,362004.52,33.786,-28.191,1.0928,1.355,1,31.57,4581.19,5.883,23.52,329,23,27,67,112,1003,284,95,78.924,102,1
C15,HOLDOUT,10,15,15,15.0,20.0,0.2,512497.67,17.189,-23.407,0.3043,1.0361,31,71.902,3157.38,1.692,22.401,197,48,26,76,54,761,58,16,63.804,116,0
C15,TRAIN,10,15,15,15.0,20.0,0.2,306871.78,28.878,-30.016,1.0065,1.2956,1,31.57,3157.38,5.676,24.104,384,44,24,60,75,1040,224,57,79.013,96,1
C20,HOLDOUT,10,15,20,15.0,20.0,0.2,471865.04,14.745,-21.096,0.1853,1.1375,31,71.902,2474.46,1.982,28.059,178,30,37,79,41,774,57,5,75.951,110,0
C20,TRAIN,10,15,20,15.0,20.0,0.2,302444.23,28.455,-29.522,0.8452,1.0807,1,31.57,2474.46,5.306,33.6,502,21,35,62,56,1059,163,43,47.175,84,1
