date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2018-07-02,99975.0070167183,1.5500597082655938,0.0,0,9,0.1500295522309067,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,1,1,0,0,0,0,0,0,0,0,0,4443.505806418753
2018-07-03,98332.97745611944,1.5504407594436767,0.0,0,9,0.15117565606750463,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,1,1,0,0,0,0,0,0,0,0,4443.505806418753
2018-07-04,98681.63500396832,1.5508219042955704,0.0,0,9,0.15117566390544795,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,1,2,0,0,0,0,0,0,0,0,4443.505806418753
2018-07-05,100220.80615025484,1.5512031428443032,0.0,0,9,0.153504349954392,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,1,3,0,0,0,0,0,0,0,0,4443.505806418753
2018-07-06,102890.16634399511,1.5515844751129084,0.0,0,9,0.15810784709601572,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,1,4,0,0,0,0,0,0,0,0,4443.505806418753
2018-07-10,101393.06359502513,1.5519659011244253,0.0,0,9,0.15894912456112778,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,1,5,0,0,0,0,0,0,0,0,4443.505806418753
2018-07-11,100384.2805363409,1.5523474209018986,0.0,0,9,0.1576865835684256,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,1,6,0,0,1,0,0,0,0,0,4443.505806418753
2018-07-12,102349.22867063446,1.5527290344683788,0.0,0,9,0.15801826411458134,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,1,7,0,0,1,0,0,0,0,0,4443.505806418753
2018-07-13,102111.95545591683,1.553110741846922,0.0,0,9,0.15634214967748863,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,1,8,0,0,1,0,0,0,0,0,4443.505806418753
2018-07-16,101910.91272343605,1.5534925430605901,0.0,0,9,0.15895136260294535,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,1,9,0,0,1,0,0,0,0,0,4443.505806418753
2018-07-17,102589.85831304792,0.08519533369217926,30965.518255693234,0,9,0.15014567039606594,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,1,2,9,2,2,1,0,0,0,0,0,4443.505806418753
2018-07-18,102180.0180259153,30973.21572532329,0.0,0,9,0.15070044376577182,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,2,10,2,2,1,0,0,0,0,0,4443.505806418753
2018-07-19,102560.14467922205,30980.829870945043,0.0,0,9,0.15078720555991035,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,2,11,2,2,1,0,0,0,0,0,4443.505806418753
2018-07-20,100888.92516957222,30988.445888352213,0.0,0,9,0.15116368362401364,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,2,12,2,2,1,0,0,0,0,0,4443.505806418753
2018-07-23,100866.27711816496,30996.063778004944,0.0,0,9,0.15254236973051793,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,2,13,2,2,1,0,0,0,0,0,4443.505806418753
2018-07-24,98508.62925081947,31003.683540363487,0.0,0,9,0.15230759563761959,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,2,14,2,2,1,0,0,0,0,0,4443.505806418753
2018-07-25,98987.86381332821,31011.30517588821,302.15548224,0,8,0.153899169990461,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,2,15,2,2,1,0,0,1,1,1,4443.505806418753
2018-07-26,100348.21075049379,31321.158446161793,0.0,0,8,0.16072487450824466,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,2,16,2,2,1,0,0,1,1,1,4443.505806418753
2018-07-27,99212.30695064712,31328.85812654261,13801.4324730765,0,8,0.16743601561712956,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,2,17,2,2,0,0,0,2,1,2,4443.505806418753
2018-07-30,99071.31706478722,45141.38497895721,0.0,0,8,0.17188206298765807,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,2,18,2,2,0,0,0,2,1,2,4443.505806418753
2018-07-31,98532.19710765283,0.033525063313941214,25086.835201285397,0,8,0.1500958080150873,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,1,3,18,7,3,0,0,0,2,1,2,4443.505806418753
2018-08-01,99108.73615721504,25093.035831287707,0.0,0,8,0.15021141703779275,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,3,19,7,3,0,0,0,2,1,2,4443.505806418753
2018-08-02,100433.55712622445,25099.20445228611,0.0,0,8,0.15155533373375737,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,3,20,7,3,0,0,0,2,1,2,4443.505806418753
2018-08-03,99531.22614727027,25105.37458971661,0.0,0,8,0.15397368875697617,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,3,21,7,3,0,0,0,2,1,2,4443.505806418753
2018-08-06,100127.14765854244,25111.546243951998,0.0,0,8,0.15517194330487305,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,3,22,7,3,1,0,0,2,1,2,4443.505806418753
2018-08-07,100445.19912391582,25117.719415365147,0.0,0,8,0.1553138278889184,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,3,23,7,3,1,0,0,2,0,2,4443.505806418753
2018-08-08,99616.09398897925,25123.894104329025,0.0,0,8,0.15846024495295258,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,3,24,7,3,1,0,0,2,0,2,4443.505806418753
2018-08-09,100022.34763020376,25130.07031121669,13070.851779367084,0,7,0.1560445261213492,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,3,25,7,3,1,0,0,3,1,3,4443.505806418753
2018-08-10,106140.34527535731,38210.3130232613,0.0,0,7,0.20090246400815862,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,3,26,7,3,1,0,0,3,1,3,4443.505806418753
2018-08-13,107265.29507008381,38219.7062645118,0.0,0,7,0.1979342943885067,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,3,27,7,3,1,0,0,3,1,3,4443.505806418753
2018-08-14,108675.72918470587,0.013272122545313986,21401.053809447305,0,10,0.15005768499867586,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,1,4,27,9,5,1,0,0,3,1,3,4443.505806418753
2018-08-15,108069.90773649722,21406.32810589051,0.0,0,10,0.15341214635275277,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,4,28,9,5,1,0,0,3,0,3,4443.505806418753
2018-08-16,107312.51609351311,21411.590423528778,0.0,0,10,0.15474306413176903,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,4,29,9,5,1,0,0,3,0,3,4443.505806418753
2018-08-17,109501.14657393505,21416.854034802593,0.0,0,10,0.15566765489063353,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,4,30,9,5,1,0,0,3,0,3,4443.505806418753
2018-08-20,109679.90044069143,21422.118940029966,0.0,0,10,0.15597368880956064,1,0.00024583,V3,15,15,10,0.15,0.2,0.2,0,4,31,9,5,1,0,0,3,0,3,4443.505806418753
