variant,split,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct,hard_max_pct,max_weight_cap_param,equity_final,cagr,mdd,sharpe_excess,sharpe_raw,switches,cash_pct,cost_total,avg_tickers,max_concentration_pct,days_out_target_band,n_defensive_sells_25,n_defensive_sells_50,n_defensive_sells_100,n_rebalance_days,n_non_rebalance_days,n_rebalance_sells,n_concentration_trims,tempo_regime_defensivo_pct,n_quarantine_entries,quarantine_size_final
V0,HOLDOUT,10,15,1,15.0,20.0,0.2,672786.85,18.555,-18.687,0.3837,1.1532,31,72.167,10868.65,2.544,17.71,75,42,32,115,812,0,385,289,90.887,176,1
V0,TRAIN,10,15,1,15.0,20.0,0.2,388828.88,35.967,-38.425,1.0412,1.269,1,31.57,10868.65,6.246,19.328,200,34,19,84,1115,0,1025,821,75.874,129,1
V1,HOLDOUT,10,15,5,15.0,20.0,0.2,569706.13,15.514,-19.364,0.2206,1.0077,31,71.902,6595.36,2.579,22.744,149,44,34,104,163,652,190,63,79.509,160,1
V1,TRAIN,10,15,5,15.0,20.0,0.2,357367.4,33.397,-34.836,0.9519,1.1737,1,31.57,6595.36,6.159,32.793,211,28,28,73,223,892,420,214,77.758,117,1
V2,HOLDOUT,10,15,10,15.0,20.0,0.2,646295.12,19.635,-14.26,0.4514,1.2507,31,71.902,4581.19,2.337,27.379,180,33,35,88,81,734,106,25,81.718,137,1
V2,TRAIN,10,15,10,15.0,20.0,0.2,362004.52,33.786,-28.191,1.0928,1.355,1,31.57,4581.19,5.883,23.52,329,23,27,67,112,1003,284,95,78.924,102,1
V3,HOLDOUT,15,15,10,15.0,20.0,0.2,574506.06,14.266,-15.65,0.1507,0.989,31,71.902,4443.51,2.288,27.342,229,30,36,88,81,734,101,27,56.81,134,1
V3,TRAIN,15,15,10,15.0,20.0,0.2,373242.95,34.715,-29.03,1.1144,1.3743,1,31.57,4443.51,5.963,23.534,763,22,28,69,112,1003,289,96,79.462,101,1
V4,HOLDOUT,20,10,10,15.0,20.0,0.06,664020.51,14.9,-9.612,0.2248,1.5022,31,71.902,4993.73,4.88,11.743,198,63,69,174,81,734,246,62,82.331,280,1
V4,TRAIN,20,10,10,15.0,20.0,0.06,423761.55,38.639,-25.75,1.3643,1.6584,1,31.57,4993.73,11.788,19.085,595,42,52,136,112,1003,615,266,77.758,211,1
