date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_target_band,ret_cdi,variant,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct_param,hard_max_pct_param,max_weight_cap_param,is_rebalance_day,n_rebalance_days_cum,n_non_rebalance_days_cum,n_rebalance_sells_cum,n_concentration_trims_cum,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum,phase_offset,cadence
2018-07-02,100024.58299999998,100024.58299999998,0.0,0,0,0.0,1,0.00024583,C07_P4,10,15,7,0.15,0.2,0.2,0,0,1,0,0,0,0,0,0,0,0,4742.135170949458,4,7
2018-07-03,100049.17204323887,100049.17204323887,0.0,0,0,0.0,1,0.00024583,C07_P4,10,15,7,0.15,0.2,0.2,0,0,2,0,0,0,0,0,0,0,0,4742.135170949458,4,7
2018-07-04,100073.76713120224,100073.76713120224,0.0,0,0,0.0,1,0.00024583,C07_P4,10,15,7,0.15,0.2,0.2,0,0,3,0,0,0,0,0,0,0,0,4742.135170949458,4,7
2018-07-05,100098.36826537609,100098.36826537609,0.0,0,0,0.0,1,0.00024583,C07_P4,10,15,7,0.15,0.2,0.2,0,0,4,0,0,0,0,0,0,0,0,4742.135170949458,4,7
2018-07-06,100073.35051747486,1.18952058951543,0.0,0,10,0.1500286572675337,0,0.00024583,C07_P4,10,15,7,0.15,0.2,0.2,1,1,4,0,0,0,0,0,0,0,0,4742.135170949458,4,7
2018-07-10,98666.7967239427,1.1898130093619503,0.0,0,10,0.15167576605466584,0,0.00024583,C07_P4,10,15,7,0.15,0.2,0.2,0,1,5,0,0,0,0,0,0,0,0,4742.135170949458,4,7
2018-07-11,98040.2890941701,1.1901055010940416,0.0,0,10,0.15547347362234973,0,0.00024583,C07_P4,10,15,7,0.15,0.2,0.2,0,1,6,0,0,1,0,0,0,0,0,4742.135170949458,4,7
2018-07-12,99837.42775873274,1.1903980647293755,0.0,0,10,0.15613890528260807,0,0.00024583,C07_P4,10,15,7,0.15,0.2,0.2,0,1,7,0,0,1,0,0,0,0,0,4742.135170949458,4,7
2018-07-13,98836.4549474853,1.1906907002856277,0.0,0,10,0.15672412859435642,0,0.00024583,C07_P4,10,15,7,0.15,0.2,0.2,0,1,8,0,0,1,0,0,0,0,0,4742.135170949458,4,7
2018-07-16,98627.32349554122,1.1909834077804788,0.0,0,10,0.15588013125688271,0,0.00024583,C07_P4,10,15,7,0.15,0.2,0.2,0,1,9,0,0,1,0,0,0,0,0,4742.135170949458,4,7
