variant,split,top_n_param,buffer_k_param,rebalance_cadence_param,target_pct,hard_max_pct,max_weight_cap_param,equity_final,cagr,mdd,sharpe_excess,sharpe_raw,switches,cash_pct,cost_total,avg_tickers,max_concentration_pct,days_out_target_band,n_defensive_sells_25,n_defensive_sells_50,n_defensive_sells_100,n_rebalance_days,n_non_rebalance_days,n_rebalance_sells,n_concentration_trims,tempo_regime_defensivo_pct,n_quarantine_entries,quarantine_size_final,phase_offset,cadence
C01,HOLDOUT,10,15,1,15.0,20.0,0.2,672786.85,18.555,-18.687,0.3837,1.1532,31,72.167,10868.65,2.544,17.71,75,42,32,115,812,0,385,289,90.887,176,1,,1
C01,TRAIN,10,15,1,15.0,20.0,0.2,388828.88,35.967,-38.425,1.0412,1.269,1,31.57,10868.65,6.246,19.328,200,34,19,84,1115,0,1025,821,75.874,129,1,,1
C05_P0,HOLDOUT,10,15,5,15.0,20.0,0.2,569706.13,15.514,-19.364,0.2206,1.0077,31,71.902,6595.36,2.579,22.744,149,44,34,104,163,652,190,63,79.509,160,1,0.0,5
C05_P0,TRAIN,10,15,5,15.0,20.0,0.2,357367.4,33.397,-34.836,0.9519,1.1737,1,31.57,6595.36,6.159,32.793,211,28,28,73,223,892,420,214,77.758,117,1,0.0,5
C05_P1,HOLDOUT,10,15,5,15.0,20.0,0.2,704765.34,21.06,-18.756,0.5111,1.2711,31,71.902,6673.75,2.355,21.722,137,34,39,102,163,652,169,53,81.84,155,1,1.0,5
C05_P1,TRAIN,10,15,5,15.0,20.0,0.2,379944.89,35.243,-32.787,1.0807,1.3261,1,31.57,6673.75,6.134,20.508,271,27,32,78,223,892,421,204,76.771,121,2,1.0,5
C05_P2,HOLDOUT,10,15,5,15.0,20.0,0.2,517611.63,13.956,-18.175,0.1339,0.9035,31,71.902,6378.78,2.827,23.546,82,39,35,102,163,652,207,64,52.025,158,1,2.0,5
C05_P2,TRAIN,10,15,5,15.0,20.0,0.2,339244.42,31.821,-37.272,0.9829,1.2293,1,31.57,6378.78,5.952,20.678,290,24,26,73,223,892,410,227,77.309,112,2,2.0,5
C05_P3,HOLDOUT,10,15,5,15.0,20.0,0.2,526022.6,21.227,-13.402,0.5183,1.2745,31,71.902,5802.56,2.514,22.362,146,38,39,105,163,652,181,71,63.436,165,2,3.0,5
C05_P3,TRAIN,10,15,5,15.0,20.0,0.2,282318.55,26.456,-42.15,0.8061,1.0477,1,31.57,5802.56,5.991,20.414,305,27,30,78,223,892,418,199,77.399,122,1,3.0,5
