day_in_cycle,split,pct_invested_mean,pct_pending_mean,pct_free_idle_mean,n_obs
0,TRAIN,0.5514231385308993,0.1366756570069124,0.31160648818948433,1115
0,HOLDOUT,0.24533055229162679,0.09952357278032763,0.6547085990592503,815
1,TRAIN,0.5431604657499586,0.09314599774125364,0.36281746053054914,1114
1,HOLDOUT,0.23897757282752516,0.06729597480245991,0.6932058352508124,815
2,TRAIN,0.5358629747809316,0.012902791006266429,0.45000198842565753,1113
2,HOLDOUT,0.23405803981533077,0.008271477997381824,0.7571174303936609,815
3,TRAIN,0.5298019242914538,0.010945512758977156,0.458019420038841,1112
3,HOLDOUT,0.23043590027364408,0.00573499838438567,0.7632673349952123,815
4,TRAIN,0.5229811341639331,0.010607677830449245,0.4651787897953659,1111
4,HOLDOUT,0.22642803989620952,0.004934706865953691,0.7680676518087907,815
5,TRAIN,0.5167185433468618,0.011454966196024654,0.47059498803785815,1110
5,HOLDOUT,0.22325185800752245,0.004974059538807912,0.7712027852466452,815
6,TRAIN,0.5110941362199948,0.010286548848837949,0.4773888833366399,1109
6,HOLDOUT,0.21981184517191718,0.004589539425877008,0.775024073102072,815
