split,event_type,settle_lag_days,n_events
HOLDOUT,concentration_trim,0,1
HOLDOUT,concentration_trim,1,77
HOLDOUT,concentration_trim,2,104
HOLDOUT,concentration_trim,3,21
HOLDOUT,concentration_trim,4,80
HOLDOUT,concentration_trim,5,4
HOLDOUT,concentration_trim,6,4
HOLDOUT,defensive_sell,0,1
HOLDOUT,defensive_sell,1,59
HOLDOUT,defensive_sell,2,121
HOLDOUT,defensive_sell,3,18
HOLDOUT,defensive_sell,4,54
HOLDOUT,defensive_sell,5,7
HOLDOUT,defensive_sell,6,2
HOLDOUT,rebalance_sell,0,3
HOLDOUT,rebalance_sell,1,251
HOLDOUT,rebalance_sell,2,390
HOLDOUT,rebalance_sell,3,83
HOLDOUT,rebalance_sell,4,270
HOLDOUT,rebalance_sell,5,14
HOLDOUT,rebalance_sell,6,20
HOLDOUT,rebalance_sell,7,2
TRAIN,concentration_trim,1,296
TRAIN,concentration_trim,2,366
TRAIN,concentration_trim,3,90
TRAIN,concentration_trim,4,255
TRAIN,concentration_trim,5,38
TRAIN,concentration_trim,6,16
TRAIN,defensive_sell,1,276
TRAIN,defensive_sell,2,256
TRAIN,defensive_sell,3,43
TRAIN,defensive_sell,4,189
TRAIN,defensive_sell,5,34
TRAIN,defensive_sell,6,2
TRAIN,rebalance_sell,1,755
TRAIN,rebalance_sell,2,804
TRAIN,rebalance_sell,3,197
TRAIN,rebalance_sell,4,513
TRAIN,rebalance_sell,5,75
TRAIN,rebalance_sell,6,34
