arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,holding_days,top_n,n_bloqueados,gate_activation_rate,tickers_baseline,tickers_arm,tickers_bloqueados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm,churn_evitado,churn_evitado_rate,n_reentrants_baseline,arm_catches_reentry,recidiva_avoidance_rate
B,0,2018-07-25,2018-07-24,2018-08-03,2018-08-02,TRAIN,7,10,0,0.0,A1LG34;A1MD34;A2XO34;M1TA34;T2TD34;BIIB34;D1EX34;AMZO34;VRSN34;I1DX34,A1LG34;A1MD34;A2XO34;M1TA34;T2TD34;BIIB34;D1EX34;AMZO34;VRSN34;I1DX34,,,0.0059223085852297495,0.0059223085852297495,0.0059223085852297495,0.0,0,0.0,0,0,
B,0,2018-08-03,2018-08-02,2018-08-14,2018-08-13,TRAIN,7,10,3,0.3,A1MD34;A1LG34;T2TD34;A2XO34;REGN34;LILY34;H1CA34;F1TN34;D1EX34;VRSN34,A1MD34;A1LG34;T2TD34;A2XO34;LILY34;H1CA34;VRSN34;I1QV34;UNIP6;D1EL34,D1EX34;F1TN34;REGN34,D1EL34;I1QV34;UNIP6,0.0593258411235571,0.06250238299829267,0.06235238299829267,0.00015000000000000001,0,0.0,1,0,0.0
B,0,2018-08-14,2018-08-13,2018-08-23,2018-08-22,TRAIN,7,10,1,0.1,A1MD34;LILY34;H1CA34;T2TD34;M1NS34;A1LG34;C1NC34;L1UL34;D1EL34;CEBR6,A1MD34;LILY34;H1CA34;M1NS34;A1LG34;C1NC34;L1UL34;D1EL34;CEBR6;VRSN34,T2TD34,VRSN34,0.06273037964827374,0.06012832983867191,0.06007832983867191,5e-05,0,0.0,0,0,
B,0,2018-08-23,2018-08-22,2018-09-03,2018-08-31,TRAIN,7,10,1,0.1,A1MD34;D1EX34;LILY34;REGN34;J1KH34;P1YC34;H1CA34;EMAE4;K1RC34;C1NC34,A1MD34;D1EX34;LILY34;REGN34;P1YC34;H1CA34;EMAE4;K1RC34;C1NC34;F2IC34,J1KH34,F2IC34,0.05537497368615781,0.057323175947140016,0.057273175947140015,5e-05,0,0.0,0,0,
B,0,2018-09-03,2018-08-31,2018-09-13,2018-09-12,TRAIN,7,10,1,0.1,A1MD34;INBR32;T2TD34;H1CA34;REGN34;D1EX34;LILY34;P1YC34;I1QV34;C1NC34,A1MD34;T2TD34;H1CA34;REGN34;D1EX34;LILY34;P1YC34;I1QV34;C1NC34;F1TN34,INBR32,F1TN34,0.02975958561993051,0.0253590167243203,0.0253090167243203,5e-05,1,1.0,0,0,
B,0,2018-09-13,2018-09-12,2018-09-24,2018-09-21,TRAIN,7,10,1,0.1,A1MD34;INBR32;LILY34;F1TN34;T2TD34;PRIO3;M1KC34;P1YC34;ORLY34;H1CA34,A1MD34;LILY34;F1TN34;T2TD34;PRIO3;M1KC34;P1YC34;ORLY34;H1CA34;J1KH34,INBR32,J1KH34,-0.026087709863419073,-0.026269488896516667,-0.02631948889651667,5e-05,0,0.0,0,0,
B,0,2018-09-24,2018-09-21,2018-10-03,2018-10-02,TRAIN,7,10,0,0.0,A1MD34;INBR32;P1YC34;I1QV34;F1TN34;ARNC34;G1LW34;LILY34;PSSA3;T2RM34,A1MD34;INBR32;P1YC34;I1QV34;F1TN34;ARNC34;G1LW34;LILY34;PSSA3;T2RM34,,,-0.02018055180258594,-0.02018055180258594,-0.02018055180258594,0.0,0,0.0,1,0,0.0
B,0,2018-10-03,2018-10-02,2018-10-15,2018-10-11,TRAIN,7,10,1,0.1,INBR32;A1MD34;PRIO3;PSSA3;IRBR3;T1CH34;F1TN34;H1CA34;I1QV34;RDOR3,INBR32;PRIO3;PSSA3;IRBR3;T1CH34;F1TN34;H1CA34;I1QV34;RDOR3;P1YC34,A1MD34,P1YC34,-0.08317131630931868,-0.08471866976452255,-0.08476866976452255,5e-05,0,0.0,0,0,
B,0,2018-10-15,2018-10-11,2018-10-24,2018-10-23,TRAIN,7,10,4,0.4,INBR32;PRIO3;PETR3;PETR4;CMIG3;CPLE3;A1MD34;IRBR3;CAML3;MNDL3,PRIO3;CPLE3;A1MD34;IRBR3;CAML3;MNDL3;PSSA3;JSLG3;GFSA3;H1CA34,CMIG3;INBR32;PETR3;PETR4,GFSA3;H1CA34;JSLG3;PSSA3,0.04568633401192196,0.024319526787084943,0.024119526787084945,0.0002,0,0.0,2,1,0.5
B,0,2018-10-24,2018-10-23,2018-11-05,2018-11-01,TRAIN,7,10,3,0.3,INBR32;AZEV3;RANI3;LOGN3;PRIO3;CLSC3;IRBR3;JSLG3;A1MD34;JHSF3,INBR32;AZEV3;PRIO3;CLSC3;IRBR3;JSLG3;A1MD34;PETR3;CMIG3;M1KC34,JHSF3;LOGN3;RANI3,CMIG3;M1KC34;PETR3,-0.13644994746110364,-0.11253538928746534,-0.11268538928746534,0.00015000000000000001,0,0.0,1,0,0.0
B,0,2018-11-05,2018-11-01,2018-11-14,2018-11-13,TRAIN,7,10,0,0.0,INBR32;LOGN3;RANI3;JSLG3;RCSL4;CLSC3;CPLE3;CMIG3;MGEL4;PRIO3,INBR32;LOGN3;RANI3;JSLG3;RCSL4;CLSC3;CPLE3;CMIG3;MGEL4;PRIO3,,,-0.06381690116102857,-0.06381690116102857,-0.06381690116102857,0.0,0,0.0,3,0,0.0
B,0,2018-11-14,2018-11-13,2018-11-27,2018-11-26,TRAIN,7,10,0,0.0,LOGN3;CPLE3;CMIG3;JSLG3;CLSC3;GUAR3;INBR32;RANI3;CLSC4;KEPL3,LOGN3;CPLE3;CMIG3;JSLG3;CLSC3;GUAR3;INBR32;RANI3;CLSC4;KEPL3,,,0.033983009581912,0.033983009581912,0.033983009581912,0.0,0,0.0,0,0,
B,0,2018-11-27,2018-11-26,2018-12-06,2018-12-05,TRAIN,7,10,1,0.1,CMIG3;CLSC3;KEPL3;GOLL54;CPLE3;JSLG3;GUAR3;LOGN3;RCSL4;CMIG4,CMIG3;CLSC3;KEPL3;GOLL54;CPLE3;JSLG3;GUAR3;LOGN3;CMIG4;INBR32,RCSL4,INBR32,0.0352901577650168,0.049325596706560934,0.04927559670656093,5e-05,0,0.0,0,0,
B,0,2018-12-06,2018-12-05,2018-12-17,2018-12-14,TRAIN,7,10,0,0.0,CPLE3;KEPL3;CMIG3;PPLA11;JSLG3;GOLL54;SAPR3;GUAR3;CLSC3;CMIG4,CPLE3;KEPL3;CMIG3;PPLA11;JSLG3;GOLL54;SAPR3;GUAR3;CLSC3;CMIG4,,,0.0010969658839299012,0.0010969658839299012,0.0010969658839299012,0.0,0,0.0,0,0,
B,0,2018-12-17,2018-12-14,2018-12-28,2018-12-27,TRAIN,7,10,1,0.1,GOLL54;CMIG3;KEPL3;LPSB3;PPLA11;TGMA3;GUAR3;CMIG4;TRIS3;CPLE3,GOLL54;CMIG3;KEPL3;LPSB3;PPLA11;TGMA3;GUAR3;CMIG4;CPLE3;EVEN3,TRIS3,EVEN3,0.021409024534863715,0.01882942305500493,0.018779423055004928,5e-05,0,0.0,0,0,
B,0,2018-12-28,2018-12-27,2019-01-10,2019-01-09,TRAIN,7,10,0,0.0,MILS3;CMIG3;LPSB3;SAPR3;KEPL3;GOLL54;TGMA3;TRIS3;EVEN3;CMIG4,MILS3;CMIG3;LPSB3;SAPR3;KEPL3;GOLL54;TGMA3;TRIS3;EVEN3;CMIG4,,,0.022891637581798505,0.022891637581798505,0.022891637581798505,0.0,0,0.0,1,0,0.0
B,0,2019-01-10,2019-01-09,2019-01-21,2019-01-18,TRAIN,7,10,0,0.0,MILS3;CMIG3;TRIS3;LPSB3;KEPL3;CLSC4;MGEL4;EVEN3;CLSC3;BALM4,MILS3;CMIG3;TRIS3;LPSB3;KEPL3;CLSC4;MGEL4;EVEN3;CLSC3;BALM4,,,0.07264130514023766,0.07264130514023766,0.07264130514023766,0.0,0,0.0,0,0,
B,0,2019-01-21,2019-01-18,2019-01-31,2019-01-30,TRAIN,7,10,0,0.0,MILS3;MGEL4;SAPR3;LPSB3;TRIS3;CLSC4;KEPL3;NATU3;SAPR11;EVEN3,MILS3;MGEL4;SAPR3;LPSB3;TRIS3;CLSC4;KEPL3;NATU3;SAPR11;EVEN3,,,-0.020677043684973785,-0.020677043684973785,-0.020677043684973785,0.0,0,0.0,0,0,
B,0,2019-01-31,2019-01-30,2019-02-11,2019-02-08,TRAIN,7,10,0,0.0,MILS3;SAPR3;TRIS3;NATU3;CMIG3;SAPR11;LPSB3;AXIA3;BALM4;SBSP3,MILS3;SAPR3;TRIS3;NATU3;CMIG3;SAPR11;LPSB3;AXIA3;BALM4;SBSP3,,,-0.019401846929384844,-0.019401846929384844,-0.019401846929384844,0.0,0,0.0,0,0,
B,0,2019-02-11,2019-02-08,2019-02-20,2019-02-19,TRAIN,7,10,4,0.4,TRIS3;BPAC11;MILS3;SAPR3;PPLA11;SBSP3;BPAC3;BPAC5;SAPR11;PLAS3,TRIS3;BPAC11;SAPR3;PPLA11;BPAC5;SAPR11;ENEV3;LUXM4;CMIG3;CRPG6,BPAC3;MILS3;PLAS3;SBSP3,CMIG3;CRPG6;ENEV3;LUXM4,0.04557856769479316,0.010703212158496202,0.010503212158496202,0.0002,1,0.25,0,0,
B,0,2019-02-20,2019-02-19,2019-03-01,2019-02-28,TRAIN,7,10,1,0.1,BPAC3;MILS3;TRIS3;LUXM4;BPAC11;LPSB3;AALR3;CMIG3;ENEV3;MGEL4,MILS3;TRIS3;LUXM4;BPAC11;LPSB3;AALR3;CMIG3;ENEV3;MGEL4;MOVI3,BPAC3,MOVI3,-0.02030446457203466,-0.003912523025557556,-0.003962523025557556,5e-05,0,0.0,1,1,1.0
B,0,2019-03-01,2019-02-28,2019-03-14,2019-03-13,TRAIN,7,10,1,0.1,BPAC3;PPLA11;BPAC11;MGEL4;LUXM4;BRSR5;E2NP34;TRIS3;MOVI3;CSNA3,BPAC3;BPAC11;MGEL4;LUXM4;BRSR5;E2NP34;TRIS3;MOVI3;CSNA3;JSLG3,PPLA11,JSLG3,0.003952051563806699,0.00883472096890131,0.008784720968901311,5e-05,0,0.0,1,0,0.0
