date,phase,arm,ticker,event_type,qty,price,gross,cost,net_settlement,settle_date,reason,score,split
2018-04-09,3,V2_NW_ENTRY_FIXED,CPFE3,rebalance_buy,409,24.39,9975.51,2.4938775,-9978.0038775,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,V2_NW_ENTRY_FIXED,EALT4,rebalance_buy,1851,5.4,9995.400000000001,2.4988500000000005,-9997.898850000001,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,V2_NW_ENTRY_FIXED,GOLL54,rebalance_buy,111,90.0556,9996.1716,2.4990429,-9998.6706429,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,V2_NW_ENTRY_FIXED,KLBN3,rebalance_buy,1296,7.7129,9995.9184,2.4989796,-9998.417379600001,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,V2_NW_ENTRY_FIXED,REDE3,rebalance_buy,1782,5.61,9997.02,2.4992550000000002,-9999.519255000001,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,V2_NW_ENTRY_FIXED,RSUL4,rebalance_buy,1893,5.281,9996.932999999999,2.4992332499999996,-9999.43223325,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,V2_NW_ENTRY_FIXED,SUZB3,rebalance_buy,270,36.97,9981.9,2.495475,-9984.395475,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,V2_NW_ENTRY_FIXED,TRIS3,rebalance_buy,4450,2.2462,9995.59,2.4988975,-9998.0888975,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,V2_NW_ENTRY_FIXED,UNIP3,rebalance_buy,392,25.4545,9978.164,2.4945410000000003,-9980.658541,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,V2_NW_ENTRY_FIXED,UNIP5,rebalance_buy,390,25.5909,9980.451000000001,2.49511275,-9982.946112750002,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-10,3,V2_NW_ENTRY_FIXED,GOLL54,defensive_sell,111,88.2474,9795.4614,2.44886535,9793.01253465,2018-04-12,V2_BLOCKED_BC_ENTRY_FIXED,6.0,TRAIN
2018-04-10,3,V2_NW_ENTRY_FIXED,KLBN3,defensive_sell,1296,7.505,9726.48,2.43162,9724.04838,2018-04-12,V2_BLOCKED_BC_ENTRY_FIXED,6.0,TRAIN
2018-04-10,3,V2_NW_ENTRY_FIXED,REDE3,defensive_sell,1782,5.02,8945.64,2.23641,8943.40359,2018-04-12,V2_BLOCKED_BC_ENTRY_FIXED,6.0,TRAIN
2018-04-10,3,V2_NW_ENTRY_FIXED,TRIS3,defensive_sell,4450,2.3077,10269.265000000001,2.56731625,10266.69768375,2018-04-12,V2_BLOCKED_BC_ENTRY_FIXED,6.0,TRAIN
2018-04-10,3,V2_NW_ENTRY_FIXED,UNIP3,defensive_sell,392,25.4545,9978.164,2.4945410000000003,9975.669459,2018-04-12,V2_BLOCKED_BC_ENTRY_FIXED,6.0,TRAIN
