phase,arm,split,n_days,equity_final,cagr,mdd,sharpe_cost_adj,cvar5,cvar10,churn_rate,sell_trigger_rate,n_defensive_sells,n_turnover_sells,cost_total
0,V0_BASELINE,TRAIN,1240,163473.03462806705,0.10503939448574107,-0.33694489871436073,0.4478011404947894,-0.033043435339545874,-0.0253360615629004,0.7629032258064516,0.27903225806451615,346,600,4464.288486406549
1,V0_BASELINE,TRAIN,1240,153703.8830355269,0.0912874908151935,-0.31183976561227633,0.40987377842829126,-0.03137891780664075,-0.024458205330717023,0.7588709677419355,0.27903225806451615,346,595,4295.204099037255
2,V0_BASELINE,TRAIN,1240,282994.9309450563,0.23541560220667224,-0.3458820646683374,0.9230047215716621,-0.03333265817567186,-0.02522486017324107,0.7508064516129033,0.25887096774193546,321,610,6129.475872722784
3,V0_BASELINE,TRAIN,1240,218040.61130846821,0.1716544175101007,-0.33204840723188045,0.6986920159113972,-0.033520041506098365,-0.025374163332115937,0.7274193548387097,0.2314516129032258,287,615,5868.710354648137
4,V0_BASELINE,TRAIN,1240,238193.03148266528,0.19289360537394074,-0.3247761444020085,0.777080672543241,-0.033511764915470706,-0.02546787538192263,0.7419354838709677,0.24919354838709679,309,611,5844.991662327498
5,V0_BASELINE,TRAIN,1240,202020.79985654965,0.15362422149659816,-0.309064301733735,0.6391386282515079,-0.031203879451823582,-0.02417303186566051,0.7266129032258064,0.24838709677419354,308,593,5267.128285859472
6,V0_BASELINE,TRAIN,1240,271120.9923776932,0.22470059704696288,-0.29200276943911174,0.8465553846624149,-0.03377458279732219,-0.0254945996892651,0.7741935483870968,0.2911290322580645,361,599,6261.509126142098
0,V1_NW_MOVING,TRAIN,1240,167610.6477271584,0.11066701556869107,-0.23554357671356096,0.6809249521177535,-0.02399914402752028,-0.017795945753686343,1.1540322580645161,1.0290322580645161,1276,155,9213.966301419905
1,V1_NW_MOVING,TRAIN,1240,170744.3420000094,0.11485598205238112,-0.262857372645914,0.7035605924297685,-0.022692537228458407,-0.017178510535673583,1.1491935483870968,1.0306451612903227,1278,147,9208.433953214446
2,V1_NW_MOVING,TRAIN,1240,188766.62381594858,0.13782408626351805,-0.22573340337504622,0.8818785656065635,-0.021869842933618475,-0.01628554549670225,1.1403225806451613,1.014516129032258,1258,156,9909.682096953255
3,V1_NW_MOVING,TRAIN,1240,207562.00419270498,0.1599856821432526,-0.29799119577107736,0.9578826957462244,-0.02317671595184029,-0.017191407327061176,1.145967741935484,1.028225806451613,1275,146,11845.404520503964
4,V1_NW_MOVING,TRAIN,1240,220589.2125632193,0.17442473750841936,-0.33159551710253476,0.9394908647399834,-0.024361146055309084,-0.01788260148294261,1.1387096774193548,1.028225806451613,1275,137,12297.418678586368
5,V1_NW_MOVING,TRAIN,1240,167598.11486095368,0.11065013743329222,-0.2521908832299692,0.6246662641358558,-0.024018650794479006,-0.01801138827459637,1.1330645161290323,1.020967741935484,1266,139,9430.127159856931
6,V1_NW_MOVING,TRAIN,1240,164802.82845394668,0.1068603189292261,-0.21972645998085294,0.5948919916893429,-0.025379709746742876,-0.018247560693880473,1.146774193548387,1.0169354838709677,1261,161,9091.364861255252
0,V2_NW_ENTRY_FIXED,TRAIN,1240,187381.53852837393,0.1361224036955253,-0.22059022496192593,0.8293723368497345,-0.02395084130081498,-0.017583239220339494,1.1266129032258065,0.9887096774193549,1226,171,9583.964255175884
1,V2_NW_ENTRY_FIXED,TRAIN,1240,179946.80668813206,0.12681306660115976,-0.25315345934974165,0.7809846726801566,-0.022571030547826044,-0.016954762959422564,1.136290322580645,1.0201612903225807,1265,144,9140.752683370081
2,V2_NW_ENTRY_FIXED,TRAIN,1240,207083.01951380397,0.15944117336380126,-0.1980253909983608,1.023408684108581,-0.021644564617390828,-0.01596314115173795,1.1274193548387097,1.0024193548387097,1243,155,10500.154596087952
3,V2_NW_ENTRY_FIXED,TRAIN,1240,219778.90131003933,0.17354670996050148,-0.2892865276490898,1.027906551484591,-0.02319987820116635,-0.017233288695048376,1.1370967741935485,1.0080645161290323,1250,160,11961.187335993121
4,V2_NW_ENTRY_FIXED,TRAIN,1240,220734.56210882138,0.17458196173983143,-0.31104965697818343,0.9205633720288873,-0.025563970896540125,-0.01842984596008557,1.1241935483870968,1.0088709677419354,1251,143,11908.8036699605
5,V2_NW_ENTRY_FIXED,TRAIN,1240,182894.04150391236,0.130539436481379,-0.22871956671625726,0.725831334226542,-0.02425617724665696,-0.018355825743951257,1.1129032258064515,0.9975806451612903,1237,143,9707.90118447912
6,V2_NW_ENTRY_FIXED,TRAIN,1240,189498.92776248045,0.13871976028424648,-0.21072744961459144,0.7615855451664665,-0.025276246456353218,-0.01814040011473457,1.1306451612903226,1.0016129032258065,1242,160,9602.807128579887
