date,phase,arm,ticker,event_type,qty,price,gross,cost,net_settlement,settle_date,reason,score,split
2018-04-04,0,M1b_COOLDOWN10,BRSR6,rebalance_buy,505,19.77,9983.85,2.4959625,-9986.3459625,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,M1b_COOLDOWN10,CPFE3,rebalance_buy,407,24.52,9979.64,2.49491,-9982.134909999999,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,M1b_COOLDOWN10,KLBN3,rebalance_buy,1257,7.9505,9993.7785,2.4984446250000003,-9996.276944625,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,M1b_COOLDOWN10,REDE3,rebalance_buy,1769,5.65,9994.85,2.4987125000000003,-9997.348712500001,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,M1b_COOLDOWN10,SHOW3,rebalance_buy,93,107.3,9978.9,2.494725,-9981.394725,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,M1b_COOLDOWN10,SUZB3,rebalance_buy,278,35.89,9977.42,2.494355,-9979.914355,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,M1b_COOLDOWN10,TRIS3,rebalance_buy,4413,2.2654,9997.2102,2.49930255,-9999.70950255,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,M1b_COOLDOWN10,UNIP3,rebalance_buy,395,25.2636,9979.122,2.4947805,-9981.616780499999,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,M1b_COOLDOWN10,UNIP5,rebalance_buy,399,25.0,9975.0,2.49375,-9977.49375,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,M1b_COOLDOWN10,UNIP6,rebalance_buy,394,25.3545,9989.673,2.4974182500000004,-9992.17041825,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,0,M1b_COOLDOWN10,BRSR6,defensive_sell,505,19.39,9791.95,2.4479875000000004,9789.502012500001,2018-04-13,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-11,0,M1b_COOLDOWN10,KLBN3,defensive_sell,1257,7.3762,9271.8834,2.31797085,9269.565429150001,2018-04-13,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-11,0,M1b_COOLDOWN10,REDE3,defensive_sell,1769,5.01,8862.69,2.2156725,8860.4743275,2018-04-13,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-12,0,M1b_COOLDOWN10,SHOW3,defensive_sell,93,100.9,9383.7,2.3459250000000003,9381.354075000001,2018-04-16,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-13,0,M1b_COOLDOWN10,A2XO34,rebalance_buy,494,8.107516388888888,4005.1130961111107,1.0012782740277777,-4006.1143743851385,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,M1b_COOLDOWN10,ENGI11,rebalance_buy,131,30.4545,3989.5395,0.997384875,-3990.536884875,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,M1b_COOLDOWN10,F1TN34,rebalance_buy,210,19.044231999999997,3999.2887199999996,0.9998221799999999,-4000.2885421799997,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,M1b_COOLDOWN10,GOLL54,rebalance_buy,48,83.3338,4000.0224,1.0000056,-4001.0224055999997,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,M1b_COOLDOWN10,NFLX34,rebalance_buy,1884,2.12576465,4004.9406005999995,1.0012351501499999,-4005.9418357501495,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,M1b_COOLDOWN10,P2AN34,rebalance_buy,2256,1.77516525,4004.7728039999997,1.001193201,-4005.773997201,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,M1b_COOLDOWN10,RSUL4,rebalance_buy,758,5.281,4002.9979999999996,1.0007495,-4003.9987494999996,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,M1b_COOLDOWN10,CPFE3,rebalance_sell,407,24.45,9951.15,2.4877875,9948.6622125,2018-04-17,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-13,0,M1b_COOLDOWN10,UNIP3,rebalance_sell,395,25.7273,10162.2835,2.540570875,10159.742929125,2018-04-17,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-13,0,M1b_COOLDOWN10,UNIP5,rebalance_sell,399,25.5455,10192.6545,2.5481636250000004,10190.106336375,2018-04-17,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-13,0,M1b_COOLDOWN10,UNIP6,rebalance_sell,394,25.7909,10161.6146,2.5404036500000005,10159.07419635,2018-04-17,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-16,0,M1b_COOLDOWN10,F1TN34,defensive_sell,210,19.4476788,4084.0125479999997,1.021003137,4082.9915448629995,2018-04-17,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-16,0,M1b_COOLDOWN10,GOLL54,defensive_sell,48,80.6609,3871.7232,0.9679308,3870.7552692,2018-04-18,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-18,0,M1b_COOLDOWN10,NFLX34,defensive_sell,1884,2.2642989759999996,4265.939270784,1.066484817696,4264.872785966304,2018-04-19,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-18,0,M1b_COOLDOWN10,TRIS3,defensive_sell,4413,2.2577,9963.230099999999,2.4908075249999997,9960.739292474998,2018-04-20,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-24,0,M1b_COOLDOWN10,AMER3,rebalance_buy,3118,7.7,24008.600000000002,6.00215,-24014.602150000002,2018-04-24,TARGET_TOPN_ENTRY,,TRAIN
2018-04-24,0,M1b_COOLDOWN10,D1EX34,rebalance_buy,18610,1.290132405,24009.36405705,6.0023410142625,-24015.366398064263,2018-04-24,TARGET_TOPN_ENTRY,,TRAIN
2018-04-24,0,M1b_COOLDOWN10,E2NP34,rebalance_buy,38823,0.6184592800000001,24010.444627440003,6.002611156860001,-24016.447238596862,2018-04-24,TARGET_TOPN_ENTRY,,TRAIN
2018-04-24,0,M1b_COOLDOWN10,ENGI11,rebalance_sell,131,30.3091,3970.4921,0.992623025,3969.499476975,2018-04-26,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-25,0,M1b_COOLDOWN10,AMER3,defensive_sell,3118,7.635,23805.93,5.9514825,23799.9785175,2018-04-27,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-26,0,M1b_COOLDOWN10,A2XO34,defensive_sell,494,8.305094333333333,4102.716600666667,1.0256791501666667,4101.6909215165,2018-04-27,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-30,0,M1b_COOLDOWN10,E2NP34,defensive_sell,38823,0.5778626000000001,22434.359719800006,5.608589929950002,22428.751129870056,2018-05-02,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-04,0,M1b_COOLDOWN10,D1EX34,defensive_sell,18610,1.47340284,27420.026852400002,6.855006713100001,27413.171845686902,2018-05-07,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-04,0,M1b_COOLDOWN10,C1PR34,rebalance_buy,582,23.312107,13567.646274,3.3919115685000003,-13571.038185568501,2018-05-04,TARGET_TOPN_ENTRY,,TRAIN
2018-05-04,0,M1b_COOLDOWN10,F1TN34,rebalance_buy,702,19.3275992,13567.974638400001,3.3919936596,-13571.3666320596,2018-05-04,TARGET_TOPN_ENTRY,,TRAIN
2018-05-04,0,M1b_COOLDOWN10,L1UL34,rebalance_buy,161,84.289023,13570.532703,3.3926331757500003,-13573.925336175751,2018-05-04,TARGET_TOPN_ENTRY,,TRAIN
2018-05-04,0,M1b_COOLDOWN10,N1RG34,rebalance_buy,115,117.57563999999999,13521.1986,3.38029965,-13524.57889965,2018-05-04,TARGET_TOPN_ENTRY,,TRAIN
2018-05-07,0,M1b_COOLDOWN10,N1RG34,defensive_sell,115,121.12452799999998,13929.320719999998,3.4823301799999995,13925.838389819997,2018-05-08,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-08,0,M1b_COOLDOWN10,C1PR34,defensive_sell,582,23.799020000000002,13851.02964,3.46275741,13847.566882590001,2018-05-09,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-08,0,M1b_COOLDOWN10,P2AN34,defensive_sell,2256,2.006114234,4525.793711904,1.131448427976,4524.662263476024,2018-05-09,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-09,0,M1b_COOLDOWN10,SUZB3,defensive_sell,278,42.85,11912.300000000001,2.9780750000000005,11909.321925,2018-05-11,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-10,0,M1b_COOLDOWN10,F1TN34,defensive_sell,702,21.3965056,15020.346931200002,3.7550867328000006,15016.591844467202,2018-05-11,M1b_COOLDOWN10_BLOCKED_BC_MOVING,6.0,TRAIN
