date,phase,arm,ticker,event_type,qty,price,gross,cost,net_settlement,settle_date,reason,score,split
2018-04-12,6,M3_COMBO,A2XO34,rebalance_buy,1233,8.10711,9996.066630000001,2.4990166575000003,-9998.565646657502,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,M3_COMBO,ENGI11,rebalance_buy,324,30.7636,9967.4064,2.4918516,-9969.8982516,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,M3_COMBO,KLBN3,rebalance_buy,1595,6.2673,9996.343499999999,2.499085875,-9998.842585875,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,M3_COMBO,NFLX34,rebalance_buy,4774,2.0941173,9997.3159902,2.49932899755,-9999.81531919755,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,M3_COMBO,P1YC34,rebalance_buy,794,12.579375599999999,9988.024226399999,2.4970060565999996,-9990.521232456598,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,M3_COMBO,PETR3,rebalance_buy,409,24.39,9975.51,2.4938775,-9978.0038775,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,M3_COMBO,REDE3,rebalance_buy,1904,5.25,9996.0,2.499,-9998.499,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,M3_COMBO,RSUL4,rebalance_buy,1893,5.281,9996.932999999999,2.4992332499999996,-9999.43223325,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,M3_COMBO,SUZB3,rebalance_buy,275,36.35,9996.25,2.4990625,-9998.7490625,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,M3_COMBO,TRIS3,rebalance_buy,4420,2.2615,9995.83,2.4989575,-9998.3289575,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,6,M3_COMBO,KLBN3,defensive_sell,797,6.901,5500.097,1.37502425,5498.72197575,2018-04-17,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-13,6,M3_COMBO,REDE3,defensive_sell,952,5.15,4902.8,1.2257,4901.5743,2018-04-17,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-13,6,M3_COMBO,TRIS3,defensive_sell,2210,2.2808,5040.568,1.260142,5039.307858,2018-04-17,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-16,6,M3_COMBO,KLBN3,defensive_sell,798,6.9307,5530.6986,1.38267465,5529.31592535,2018-04-18,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-04-16,6,M3_COMBO,REDE3,defensive_sell,952,5.13,4883.76,1.2209400000000001,4882.53906,2018-04-18,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-04-16,6,M3_COMBO,TRIS3,defensive_sell,2210,2.2577,4989.517,1.24737925,4988.269620749999,2018-04-18,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-04-18,6,M3_COMBO,NFLX34,defensive_sell,2387,2.2642989759999996,5404.881655711999,1.3512204139279997,5403.530435298071,2018-04-19,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-19,6,M3_COMBO,NFLX34,defensive_sell,2387,2.2608295800000002,5396.60020746,1.3491500518650001,5395.251057408135,2018-04-20,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-04-19,6,M3_COMBO,PETR3,defensive_sell,204,24.37,4971.4800000000005,1.2428700000000001,4970.23713,2018-04-23,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-20,6,M3_COMBO,PETR3,defensive_sell,205,24.43,5008.15,1.2520375,5006.897962499999,2018-04-24,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-04-23,6,M3_COMBO,AMER3,rebalance_buy,1167,7.9975,9333.0825,2.3332706250000004,-9335.415770625,2018-04-23,TARGET_TOPN_ENTRY,,TRAIN
2018-04-23,6,M3_COMBO,BRSR6,rebalance_buy,457,20.42,9331.94,2.3329850000000003,-9334.272985,2018-04-23,TARGET_TOPN_ENTRY,,TRAIN
2018-04-23,6,M3_COMBO,D1EX34,rebalance_buy,7398,1.26152965,9332.7963507,2.333199087675,-9335.129549787676,2018-04-23,TARGET_TOPN_ENTRY,,TRAIN
2018-04-23,6,M3_COMBO,E2NP34,rebalance_buy,13666,0.68291264,9332.68413824,2.33317103456,-9335.017309274559,2018-04-23,TARGET_TOPN_ENTRY,,TRAIN
2018-04-23,6,M3_COMBO,SHOW3,rebalance_buy,88,106.0,9328.0,2.332,-9330.332,2018-04-23,TARGET_TOPN_ENTRY,,TRAIN
2018-04-23,6,M3_COMBO,ENGI11,rebalance_sell,324,30.9182,10017.496799999999,2.5043742,10014.9924258,2018-04-25,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-23,6,M3_COMBO,P1YC34,rebalance_sell,794,13.088011566666665,10391.881183933332,2.597970295983333,10389.283213637349,2018-04-24,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-24,6,M3_COMBO,AMER3,defensive_sell,583,7.7,4489.1,1.1222750000000001,4487.977725000001,2018-04-26,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-25,6,M3_COMBO,AMER3,defensive_sell,584,7.635,4458.84,1.11471,4457.72529,2018-04-27,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-04-26,6,M3_COMBO,A2XO34,defensive_sell,616,8.305094333333333,5115.938109333333,1.2789845273333333,5114.659124805999,2018-04-27,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-27,6,M3_COMBO,A2XO34,defensive_sell,617,8.015935333333333,4945.8321006666665,1.2364580251666666,4944.5956426415,2018-04-30,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-04-27,6,M3_COMBO,SHOW3,defensive_sell,44,100.4,4417.6,1.1044,4416.4956,2018-05-02,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-30,6,M3_COMBO,E2NP34,defensive_sell,6833,0.5778626000000001,3948.535145800001,0.9871337864500003,3947.5480120135508,2018-05-02,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-04-30,6,M3_COMBO,SHOW3,defensive_sell,44,100.1,4404.4,1.1011,4403.2989,2018-05-03,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-05-03,6,M3_COMBO,C1PR34,rebalance_buy,493,23.188794,11432.075442000001,2.8580188605000005,-11434.9334608605,2018-05-03,TARGET_TOPN_ENTRY,,TRAIN
2018-05-03,6,M3_COMBO,F1TN34,rebalance_buy,574,19.9100724,11428.3815576,2.8570953894,-11431.2386529894,2018-05-03,TARGET_TOPN_ENTRY,,TRAIN
2018-05-03,6,M3_COMBO,L1UL34,rebalance_buy,129,88.585806,11427.568974,2.8568922435,-11430.4258662435,2018-05-03,TARGET_TOPN_ENTRY,,TRAIN
2018-05-03,6,M3_COMBO,P2AN34,rebalance_buy,5998,1.906478438,11435.057671124,2.858764417781,-11437.91643554178,2018-05-03,TARGET_TOPN_ENTRY,,TRAIN
2018-05-03,6,M3_COMBO,VLOE34,rebalance_buy,56,201.141054,11263.899024,2.815974756,-11266.714998756,2018-05-03,TARGET_TOPN_ENTRY,,TRAIN
2018-05-03,6,M3_COMBO,BRSR6,rebalance_sell,457,18.91,8641.87,2.1604675,8639.709532500001,2018-05-07,OUTSIDE_TARGET_TOPN,,TRAIN
2018-05-04,6,M3_COMBO,D1EX34,defensive_sell,3699,1.47340284,5450.11710516,1.36252927629,5448.7545758837105,2018-05-07,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-05-04,6,M3_COMBO,L1UL34,defensive_sell,64,84.289023,5394.497472,1.348624368,5393.148847632,2018-05-07,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-05-07,6,M3_COMBO,D1EX34,defensive_sell,3699,1.51742511,5612.95548189,1.4032388704724998,5611.552243019527,2018-05-08,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-05-08,6,M3_COMBO,C1PR34,defensive_sell,246,23.799020000000002,5854.55892,1.4636397300000001,5853.09528027,2018-05-09,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-05-08,6,M3_COMBO,E2NP34,defensive_sell,3416,0.6427524800000001,2195.64247168,0.5489106179200001,2195.0935610620804,2018-05-09,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-05-08,6,M3_COMBO,P2AN34,defensive_sell,2999,2.006114234,6016.336587766,1.5040841469415,6014.832503619058,2018-05-09,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-05-09,6,M3_COMBO,E2NP34,defensive_sell,3417,0.67285296,2299.13856432,0.57478464108,2298.56377967892,2018-05-10,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-05-09,6,M3_COMBO,L1UL34,defensive_sell,32,88.92298199999999,2845.5354239999997,0.711383856,2844.824040144,2018-05-10,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-05-09,6,M3_COMBO,P2AN34,defensive_sell,2999,2.062828675,6186.423196325,1.54660579908125,6184.876590525919,2018-05-10,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-05-09,6,M3_COMBO,SUZB3,defensive_sell,137,42.85,5870.45,1.4676125,5868.9823875,2018-05-11,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-05-10,6,M3_COMBO,F1TN34,defensive_sell,287,21.3965056,6140.7971072,1.5351992768,6139.2619079232,2018-05-11,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-05-10,6,M3_COMBO,L1UL34,defensive_sell,33,87.0566765,2872.8703244999997,0.7182175811249999,2872.152106918875,2018-05-11,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-05-11,6,M3_COMBO,F1TN34,defensive_sell,287,21.565320800000002,6189.247069600001,1.5473117674000003,6187.699757832601,2018-05-14,M3_COMBO_SECOND_SIGNAL_FULL,6.0,TRAIN
2018-05-14,6,M3_COMBO,C1PR34,defensive_sell,123,25.091927125,3086.3070363750003,0.7715767590937501,3085.5354596159063,2018-05-15,M3_COMBO_FIRST_SIGNAL_PARTIAL,6.0,TRAIN
2018-05-14,6,M3_COMBO,A2XO34,rebalance_buy,2091,11.42871127777778,23897.435281833335,5.974358820458334,-23903.409640653794,2018-05-14,TARGET_TOPN_ENTRY,,TRAIN
