phase,arm,split,n_days,equity_final,cagr,mdd,sharpe_cost_adj,cvar5,cvar10,churn_rate,sell_trigger_rate,reentry_within_cooldown_rate,whipsaw_count,n_defensive_sells,n_turnover_sells,cost_total
0,M1a_COOLDOWN5,TRAIN,1240,184479.9472642384,0.13252483321351782,-0.2357726136328414,0.7732808150507766,-0.02427736758425458,-0.018239201594912897,0.9830645161290322,0.8653225806451613,0.6138364779874214,96.0,1073,146,9521.691601241073
1,M1a_COOLDOWN5,TRAIN,1240,180637.64809833973,0.12769087903254395,-0.28971707765947774,0.7122762617926938,-0.02441303037152946,-0.018514637643323145,0.9725806451612903,0.8580645161290322,0.5860759493670886,82.0,1064,142,9678.654994845414
2,M1a_COOLDOWN5,TRAIN,1240,172164.8808267669,0.11673473522136057,-0.2255595712620626,0.7002994442461199,-0.024179116364621108,-0.017655831113339803,0.9774193548387097,0.8596774193548387,0.6005056890012642,82.0,1066,146,9141.324678294728
3,M1a_COOLDOWN5,TRAIN,1240,175140.771461975,0.12063084435449234,-0.3194602594354399,0.697017873010952,-0.02549628495893725,-0.01873715256007497,0.9822580645161291,0.8693548387096774,0.6070975918884665,78.0,1078,140,10520.474823601317
4,M1a_COOLDOWN5,TRAIN,1240,187075.73097053208,0.13574534588349874,-0.31668818233423135,0.7243358939625568,-0.026057625020817394,-0.018775703274744655,0.9830645161290322,0.8774193548387097,0.5803680981595092,68.0,1088,131,10810.79015899697
5,M1a_COOLDOWN5,TRAIN,1240,154933.24060989456,0.093055693264527,-0.2984017224090245,0.5256088003463704,-0.024710488338508398,-0.01869860970013763,0.9693548387096774,0.8637096774193549,0.5992462311557789,87.0,1071,131,8999.576400729316
6,M1a_COOLDOWN5,TRAIN,1240,172358.39835411927,0.11698971763745014,-0.233366716391611,0.6384880979426099,-0.025594152001941504,-0.018699598338376554,0.9733870967741935,0.85,0.5861182519280206,79.0,1054,153,9054.321491567574
0,M1b_COOLDOWN10,TRAIN,1240,148410.14661093315,0.0835421925805373,-0.1961647082963145,0.47088237232223684,-0.02682925375943886,-0.019599017559822216,0.7798387096774193,0.6758064516129032,0.052158273381294966,0.0,838,129,7722.69205762663
1,M1b_COOLDOWN10,TRAIN,1240,167167.11499216093,0.11006909274821997,-0.3029762575636973,0.6406190388749944,-0.023392014677512844,-0.0178707669541508,0.7758064516129032,0.6774193548387096,0.059674502712477394,0.0,840,122,9214.044626001281
2,M1b_COOLDOWN10,TRAIN,1240,198627.5913514687,0.14965976694798044,-0.27901130004012475,0.8606649357526319,-0.023760044777771317,-0.01799802411059682,0.771774193548387,0.6653225806451613,0.036968576709796676,0.0,825,132,10337.41094975419
3,M1b_COOLDOWN10,TRAIN,1240,176420.63881900554,0.12229027252871627,-0.37928855230028047,0.696615617007432,-0.02483358012574499,-0.018787055665198966,0.7814516129032258,0.6830645161290323,0.06581352833638025,0.0,847,122,10574.90399483219
4,M1b_COOLDOWN10,TRAIN,1240,197300.17184196092,0.1480941836587919,-0.34706883116956433,0.6608892393283929,-0.030090804371852794,-0.021466307634218657,0.7838709677419354,0.692741935483871,0.04852686308492201,0.0,859,113,10997.814580717635
5,M1b_COOLDOWN10,TRAIN,1240,166530.72641498403,0.10920897074222702,-0.24934823285080898,0.5207636851414685,-0.026870086070296492,-0.02021789880193465,0.7798387096774193,0.682258064516129,0.05985915492957746,0.0,846,121,8839.893267167869
6,M1b_COOLDOWN10,TRAIN,1240,138610.4667570665,0.06860354781892242,-0.2792931761808948,0.3480559457034807,-0.027820413513927496,-0.02010956141189193,0.7895161290322581,0.6814516129032258,0.037300177619893425,0.0,845,134,7855.601280558013
0,M2_PARTIAL,TRAIN,1240,174931.74466650345,0.12035891084802497,-0.234546710890842,0.6909710973372433,-0.02544264007722196,-0.019055927729431515,2.068548387096774,1.8483870967741935,0.6986469864698647,528.0,2292,273,8375.93956435667
1,M2_PARTIAL,TRAIN,1240,174548.71812058636,0.11985993969146191,-0.26225243191547043,0.6980574793174426,-0.02437781972622175,-0.018236403472823706,2.085483870967742,1.8741935483870968,0.6823671497584541,516.0,2324,262,8265.57446965637
2,M2_PARTIAL,TRAIN,1240,240496.7640060829,0.1952293030511867,-0.21566266135568013,1.1473037644185133,-0.022826412830868396,-0.016988812131243994,2.0620967741935483,1.8524193548387098,0.6841463414634147,506.0,2297,260,10900.341947816556
3,M2_PARTIAL,TRAIN,1240,198513.76498382987,0.14952584533773905,-0.29932419215677586,0.8585235540212038,-0.024507725040156393,-0.01857771804467505,2.087096774193548,1.8620967741935484,0.6872727272727273,522.0,2309,279,10443.298215885547
4,M2_PARTIAL,TRAIN,1240,216299.8103765363,0.16974730690695927,-0.30621895095169405,0.8641455009736826,-0.026418586871920505,-0.01952928609332354,2.056451612903226,1.8596774193548387,0.6549210206561361,487.0,2306,244,10575.135749258914
5,M2_PARTIAL,TRAIN,1240,182790.42807514145,0.13040924603950854,-0.24088402836390987,0.6920726410337975,-0.026098002903989125,-0.019662723940679996,2.0661290322580643,1.875,0.6772228989037758,508.0,2325,237,9046.083367631887
6,M2_PARTIAL,TRAIN,1240,194287.8951586575,0.14451007164861962,-0.23526754876433142,0.7745882945771495,-0.026333295867631328,-0.019277766166359813,2.079032258064516,1.8588709677419355,0.6844014510278114,525.0,2305,273,8995.533699167852
0,M3_COMBO,TRAIN,1240,205899.46728684704,0.15809139757500912,-0.22568898081032474,0.8171989257992429,-0.02806988198212932,-0.020470187500632307,1.4556451612903225,1.275,0.0536480686695279,0.0,1581,224,8205.88600611444
1,M3_COMBO,TRAIN,1240,183996.61410274135,0.13192119351514142,-0.3048038543703938,0.7471641205022934,-0.024427271732187304,-0.01852149630606873,1.485483870967742,1.3129032258064517,0.06504065040650407,0.0,1628,214,8821.326448389902
2,M3_COMBO,TRAIN,1240,287576.2323010606,0.2394540937997709,-0.2824395142854358,1.3007827889461547,-0.023347647797429958,-0.017766236137461155,1.4838709677419355,1.310483870967742,0.05725971370143149,0.0,1625,215,12799.01026274788
3,M3_COMBO,TRAIN,1240,205548.94056800375,0.1576904548441267,-0.35024037678699693,0.8417937545038912,-0.024631198380363612,-0.018930476979796804,1.4943548387096774,1.3096774193548386,0.05521472392638037,0.0,1624,229,10694.936855542419
4,M3_COMBO,TRAIN,1240,268028.78711136477,0.22184894640105401,-0.3026164448428521,0.9747144346607329,-0.02830623633550394,-0.020999241661178798,1.4903225806451612,1.3241935483870968,0.06666666666666667,0.0,1642,206,11861.94088190194
5,M3_COMBO,TRAIN,1240,250543.34694704306,0.20521157462208595,-0.21315276887576173,0.8744642231368062,-0.028839111411160304,-0.021261516695983213,1.4758064516129032,1.3137096774193548,0.06938775510204082,0.0,1629,201,10436.028518830472
6,M3_COMBO,TRAIN,1240,206055.37247263387,0.15826955177359925,-0.2707947265822025,0.7296456301550813,-0.02818313208129275,-0.02054921008769658,1.4911290322580646,1.3137096774193548,0.0907258064516129,0.0,1629,220,9357.193000959467
0,V0_BASELINE,TRAIN,1240,164180.7340433774,0.1060099303832116,-0.326868939801232,0.4559152761966761,-0.03273166274130205,-0.02513209551985732,0.7306451612903225,0.24596774193548387,0.40789473684210525,46.0,305,601,4460.155998706926
1,V0_BASELINE,TRAIN,1240,149915.86208710106,0.08576732422041755,-0.31686151654006445,0.387250019145575,-0.0313047877916982,-0.024366509027834053,0.725,0.24274193548387096,0.3821656050955414,46.0,301,598,4220.9713138586285
2,V0_BASELINE,TRAIN,1240,281154.82638043084,0.23377884703760854,-0.34559719983260084,0.9171903996763491,-0.033399035958564076,-0.025243141490443547,0.7258064516129032,0.23387096774193547,0.4172661870503597,44.0,290,610,6098.668492217853
3,V0_BASELINE,TRAIN,1240,214709.0294016538,0.16799382465181045,-0.331792541359444,0.6861989904857444,-0.033512916694949164,-0.025401572375834635,0.7048387096774194,0.20725806451612902,0.4580152671755725,43.0,257,617,5793.431694184809
4,V0_BASELINE,TRAIN,1240,235521.05638543042,0.1901619020245151,-0.32539709163647246,0.7684791216776563,-0.03345287185673523,-0.025463289294588784,0.7137096774193549,0.22096774193548388,0.4264705882352941,41.0,274,611,5787.226768704214
5,V0_BASELINE,TRAIN,1240,200531.6360439744,0.1518909413886036,-0.30683540670845466,0.635233275055753,-0.031149788676055494,-0.024145135102407785,0.7024193548387097,0.22258064516129034,0.3591549295774648,42.0,276,595,5208.13185563717
6,V0_BASELINE,TRAIN,1240,266986.5998833938,0.22088192857920474,-0.293647000251157,0.8359384219912965,-0.03369976731436986,-0.02544732758664337,0.7435483870967742,0.25806451612903225,0.38620689655172413,41.0,320,602,6110.359189629978
