phase,arm,split,n_days,equity_final,cagr,mdd,sharpe_cost_adj,cvar5,cvar10,churn_rate,sell_trigger_rate,spc_gate_blocked_rebuys_count,spc_gate_blocked_days_p50,spc_gate_blocked_days_p95,n_defensive_sells,n_turnover_sells,cost_total
0,M4_SPC_GATE,TRAIN,1240,161643.85343490422,0.10251526335966799,-0.30875758937479447,0.5080031828545619,-0.029187339770973562,-0.022311818107658386,0.6524193548387097,0.5403225806451613,641.0,2.0,16.0,670,139,8073.699417824376
1,M4_SPC_GATE,TRAIN,1240,183144.4818511896,0.13085387267195303,-0.31141669385032456,0.6157971977014071,-0.02984744388188107,-0.022120041010072932,0.6330645161290323,0.5209677419354839,656.0,2.0,16.0,646,139,8312.937634759703
2,M4_SPC_GATE,TRAIN,1240,239495.87364153226,0.1942167247496851,-0.26774760972989176,0.9052328150648367,-0.02873199556554041,-0.021434087949941855,0.6258064516129033,0.5145161290322581,651.0,2.0,15.0,638,138,10735.808482754654
3,M4_SPC_GATE,TRAIN,1240,182855.88741784153,0.13049150264744624,-0.3409376343421431,0.6167365209172732,-0.03104045509241998,-0.022660325251400295,0.6346774193548387,0.5274193548387097,668.0,2.0,14.350000000000023,654,133,9410.085237279569
4,M4_SPC_GATE,TRAIN,1240,245598.0199405724,0.2003385721107711,-0.35161879582266353,0.8697717415619466,-0.031047738196411424,-0.022292352122117418,0.6314516129032258,0.535483870967742,651.0,2.0,15.0,664,119,11607.373632785535
5,M4_SPC_GATE,TRAIN,1240,181395.0693623598,0.12865022198800258,-0.3894856208602492,0.5477814827319902,-0.033625007892615466,-0.024549309965153226,0.6258064516129033,0.5306451612903226,657.0,2.0,15.149999999999977,658,118,9895.074961315242
6,M4_SPC_GATE,TRAIN,1240,166261.1562229348,0.10884383867817227,-0.3494858768021313,0.5030945024915155,-0.032366879109965704,-0.023173807971084585,0.6475806451612903,0.5274193548387097,636.0,2.0,16.0,654,149,8417.471869665796
0,V0_BASELINE,TRAIN,1240,164180.7340433774,0.1060099303832116,-0.326868939801232,0.4559152761966761,-0.03273166274130205,-0.02513209551985732,0.7306451612903225,0.24596774193548387,0.0,5.0,83.80000000000001,305,601,4460.155998706926
1,V0_BASELINE,TRAIN,1240,149915.86208710106,0.08576732422041755,-0.31686151654006445,0.387250019145575,-0.0313047877916982,-0.024366509027834053,0.725,0.24274193548387096,0.0,5.0,79.0,301,598,4220.9713138586285
2,V0_BASELINE,TRAIN,1240,281154.82638043084,0.23377884703760854,-0.34559719983260084,0.9171903996763491,-0.033399035958564076,-0.025243141490443547,0.7258064516129032,0.23387096774193547,0.0,5.0,80.0,290,610,6098.668492217853
3,V0_BASELINE,TRAIN,1240,214709.0294016538,0.16799382465181045,-0.331792541359444,0.6861989904857444,-0.033512916694949164,-0.025401572375834635,0.7048387096774194,0.20725806451612902,0.0,5.0,82.0,257,617,5793.431694184809
4,V0_BASELINE,TRAIN,1240,235521.05638543042,0.1901619020245151,-0.32539709163647246,0.7684791216776563,-0.03345287185673523,-0.025463289294588784,0.7137096774193549,0.22096774193548388,0.0,5.0,46.54999999999819,274,611,5787.226768704214
5,V0_BASELINE,TRAIN,1240,200531.6360439744,0.1518909413886036,-0.30683540670845466,0.635233275055753,-0.031149788676055494,-0.024145135102407785,0.7024193548387097,0.22258064516129034,0.0,5.0,20.0,276,595,5208.13185563717
6,V0_BASELINE,TRAIN,1240,266986.5998833938,0.22088192857920474,-0.293647000251157,0.8359384219912965,-0.03369976731436986,-0.02544732758664337,0.7435483870967742,0.25806451612903225,0.0,5.5,91.05000000000001,320,602,6110.359189629978
