lot_id,ticker,phase,buy_date,sell_date,logret_actual,first_rolling_block_date,first_frozen_block_date,logret_at_rolling,logret_at_frozen,divergence
1,A1LB34,0,2025-12-11,2026-01-19,0.15325654108207132,2025-12-19,2025-12-19,0.10995973532874716,0.10995973532874716,SAME
2,A1LB34,0,2026-01-26,2026-02-04,-0.1276489227128905,2026-02-02,2026-02-02,-0.15236187725141098,-0.15236187725141098,SAME
3,A1LG34,0,2023-02-08,2023-03-31,-0.026023568603340645,2023-02-09,2023-02-09,-0.03565136662842813,-0.03565136662842813,SAME
4,A1LG34,0,2024-02-16,2024-03-12,-0.006837903025729,2024-02-19,2024-02-19,-0.003543176053927006,-0.003543176053927006,SAME
5,A1MD34,0,2023-03-22,2023-04-12,-0.11703983152828491,2023-04-03,2023-04-03,-0.049453694377332644,-0.049453694377332644,SAME
6,A1MD34,0,2024-01-25,2024-02-16,-0.025792886067152652,2024-01-26,2024-01-26,-0.019403088697204352,-0.019403088697204352,SAME
7,A1MD34,0,2025-07-25,2025-08-07,0.007402340565898119,2025-07-30,2025-07-30,0.08469047122743958,0.08469047122743958,SAME
8,A1MD34,0,2025-08-14,2025-09-03,-0.11145933513108085,2025-08-21,2025-08-21,-0.09768836011652648,-0.09768836011652648,SAME
9,A1MT34,0,2025-12-11,2025-12-22,-0.005843346637208419,,2025-12-18,,-0.039355069975039736,ONLY_FROZEN
10,A1NE34,0,2023-04-24,2023-05-03,-0.17242235991689103,2023-04-25,2023-04-25,-0.018862016075198967,-0.018862016075198967,SAME
11,A1NE34,0,2025-09-12,2025-09-15,0.03247739321420585,2025-09-15,2025-09-15,0.03247739321420585,0.03247739321420585,SAME
12,A1NE34,0,2025-10-02,2025-10-03,0.000983971699577101,2025-10-03,2025-10-03,0.000983971699577101,0.000983971699577101,SAME
13,A1PA34,0,2026-03-27,2026-04-02,-0.04064340714590792,2026-03-30,2026-03-30,0.01857967274523863,0.01857967274523863,SAME
14,A1PA34,0,2026-04-08,2026-04-10,-0.13377646063212087,2026-04-09,2026-04-09,-0.12657848610979472,-0.12657848610979472,SAME
15,A1TT34,0,2023-11-01,2023-11-13,-0.018276629522061574,,2023-11-06,,-0.018178658223786167,ONLY_FROZEN
16,A1TT34,0,2023-11-23,2023-12-04,0.021828789993525714,,,,,NO_SIGNAL_EITHER
17,A1TT34,0,2023-12-13,2023-12-15,-0.04103324444024409,2023-12-15,2023-12-15,-0.04103324444024397,-0.04103324444024397,SAME
18,A2XO34,0,2023-01-19,2023-01-30,0.016429383849751417,,,,,NO_SIGNAL_EITHER
19,A2XO34,0,2024-10-08,2024-10-17,0.04709282250767387,,,,,NO_SIGNAL_EITHER
20,A2XO34,0,2024-11-18,2025-01-13,-0.008057062488917232,2024-12-13,2024-11-28,0.11448542343482682,0.053092087112069426,FROZEN_EARLIER
21,A2XO34,0,2025-02-11,2025-02-20,-0.21633681220655065,2025-02-12,2025-02-12,-0.008514715586774343,-0.008514715586774343,SAME
22,AALR3,0,2023-12-04,2023-12-13,-0.01798763701785533,2023-12-05,2023-12-05,0.02183126165723421,0.02183126165723421,SAME
23,AALR3,0,2024-07-11,2024-07-22,-0.36668385881605386,2024-07-18,2024-07-18,-0.31881993758983346,-0.31881993758983346,SAME
24,AALR3,0,2025-10-02,2025-10-07,-0.14080726465357396,2025-10-07,2025-10-07,-0.14080726465357396,-0.14080726465357396,SAME
25,AAPL34,0,2024-06-21,2024-07-31,0.09849489587184458,2024-07-02,2024-07-02,0.09227527610917084,0.09227527610917084,SAME
26,ABBV34,0,2024-08-20,2024-08-29,0.0240655298897002,,,,,NO_SIGNAL_EITHER
27,AHEB3,0,2024-07-31,2024-08-09,0.0,,,,,NO_SIGNAL_EITHER
28,AHEB6,0,2025-03-05,2025-04-14,0.09531017980432493,,,,,NO_SIGNAL_EITHER
29,AIRB34,0,2023-02-17,2023-03-02,-0.07132952414558195,2023-02-22,2023-02-22,-0.039364331896747,-0.039364331896747,SAME
30,ALPK3,0,2023-06-02,2023-07-12,0.3694865070729325,2023-06-05,2023-06-05,0.07185410376798351,0.07185410376798351,SAME
31,ALPK3,0,2023-07-24,2023-08-31,-0.05777007206441314,2023-08-11,2023-07-25,0.04472289999397813,-0.006256537614305037,FROZEN_EARLIER
