date,phase,arm,ticker,event_type,qty,price,gross,cost,net_settlement,settle_date,reason,score,split
2018-04-04,0,A2_ANY_RULE,BRSR6,rebalance_buy,505,19.77,9983.85,2.4959625,-9986.3459625,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,A2_ANY_RULE,CPFE3,rebalance_buy,407,24.52,9979.64,2.49491,-9982.134909999999,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,A2_ANY_RULE,KLBN3,rebalance_buy,1257,7.9505,9993.7785,2.4984446250000003,-9996.276944625,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,A2_ANY_RULE,REDE3,rebalance_buy,1769,5.65,9994.85,2.4987125000000003,-9997.348712500001,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,A2_ANY_RULE,SHOW3,rebalance_buy,93,107.3,9978.9,2.494725,-9981.394725,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,A2_ANY_RULE,SUZB3,rebalance_buy,278,35.89,9977.42,2.494355,-9979.914355,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,A2_ANY_RULE,TRIS3,rebalance_buy,4413,2.2654,9997.2102,2.49930255,-9999.70950255,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,A2_ANY_RULE,UNIP3,rebalance_buy,395,25.2636,9979.122,2.4947805,-9981.616780499999,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,A2_ANY_RULE,UNIP5,rebalance_buy,399,25.0,9975.0,2.49375,-9977.49375,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,A2_ANY_RULE,UNIP6,rebalance_buy,394,25.3545,9989.673,2.4974182500000004,-9992.17041825,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,0,A2_ANY_RULE,REDE3,defensive_sell,1769,5.01,8862.69,2.2156725,8860.4743275,2018-04-13,A2_ANY_RULE1_4CHARTS,6.0,TRAIN
2018-04-13,0,A2_ANY_RULE,KLBN3,defensive_sell,1257,6.901,8674.556999999999,2.1686392499999996,8672.38836075,2018-04-17,A2_ANY_RULE1_4CHARTS,6.0,TRAIN
2018-04-13,0,A2_ANY_RULE,A2XO34,rebalance_buy,138,8.107516388888888,1118.8372616666666,0.27970931541666666,-1119.1169709820833,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,A2_ANY_RULE,ENGI11,rebalance_buy,36,30.4545,1096.362,0.2740905,-1096.6360905000001,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,A2_ANY_RULE,F1TN34,rebalance_buy,58,19.044231999999997,1104.5654559999998,0.27614136399999994,-1104.8415973639999,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,A2_ANY_RULE,GOLL54,rebalance_buy,13,83.3338,1083.3393999999998,0.27083484999999996,-1083.6102348499999,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,A2_ANY_RULE,NFLX34,rebalance_buy,528,2.12576465,1122.4037351999998,0.28060093379999995,-1122.6843361338,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,A2_ANY_RULE,P2AN34,rebalance_buy,632,1.77516525,1121.904438,0.2804761095,-1122.1849141095,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,A2_ANY_RULE,REDE3,rebalance_buy,218,5.15,1122.7,0.280675,-1122.980675,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,A2_ANY_RULE,RSUL4,rebalance_buy,212,5.281,1119.572,0.279893,-1119.8518929999998,2018-04-13,TARGET_TOPN_ENTRY,,TRAIN
2018-04-13,0,A2_ANY_RULE,BRSR6,rebalance_sell,505,19.45,9822.25,2.4555625,9819.7944375,2018-04-17,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-13,0,A2_ANY_RULE,CPFE3,rebalance_sell,407,24.45,9951.15,2.4877875,9948.6622125,2018-04-17,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-13,0,A2_ANY_RULE,SHOW3,rebalance_sell,93,99.0,9207.0,2.30175,9204.69825,2018-04-17,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-13,0,A2_ANY_RULE,UNIP3,rebalance_sell,395,25.7273,10162.2835,2.540570875,10159.742929125,2018-04-17,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-13,0,A2_ANY_RULE,UNIP5,rebalance_sell,399,25.5455,10192.6545,2.5481636250000004,10190.106336375,2018-04-17,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-13,0,A2_ANY_RULE,UNIP6,rebalance_sell,394,25.7909,10161.6146,2.5404036500000005,10159.07419635,2018-04-17,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-16,0,A2_ANY_RULE,REDE3,defensive_sell,218,5.13,1118.34,0.279585,1118.060415,2018-04-18,A2_ANY_RULE1_4CHARTS,6.0,TRAIN
2018-04-18,0,A2_ANY_RULE,GOLL54,defensive_sell,13,89.3873,1162.0348999999999,0.29050872499999997,1161.7443912749998,2018-04-20,A2_ANY_RULE1_4CHARTS,6.0,TRAIN
2018-04-24,0,A2_ANY_RULE,AMER3,rebalance_buy,1831,7.7,14098.7,3.5246750000000002,-14102.224675000001,2018-04-24,TARGET_TOPN_ENTRY,,TRAIN
2018-04-24,0,A2_ANY_RULE,D1EX34,rebalance_buy,10930,1.290132405,14101.14718665,3.5252867966625,-14104.672473446662,2018-04-24,TARGET_TOPN_ENTRY,,TRAIN
2018-04-24,0,A2_ANY_RULE,E2NP34,rebalance_buy,22802,0.6184592800000001,14102.10850256,3.52552712564,-14105.63402968564,2018-04-24,TARGET_TOPN_ENTRY,,TRAIN
2018-04-24,0,A2_ANY_RULE,REDE3,rebalance_buy,2635,5.35,14097.249999999998,3.5243124999999997,-14100.774312499998,2018-04-24,TARGET_TOPN_ENTRY,,TRAIN
2018-04-24,0,A2_ANY_RULE,SHOW3,rebalance_buy,135,103.7,13999.5,3.4998750000000003,-14002.999875,2018-04-24,TARGET_TOPN_ENTRY,,TRAIN
2018-04-24,0,A2_ANY_RULE,ENGI11,rebalance_sell,36,30.3091,1091.1276,0.2727819,1090.8548181,2018-04-26,OUTSIDE_TARGET_TOPN,,TRAIN
