phase,arm,split,n_days,equity_final,cagr,mdd,sharpe_cost_adj,cvar5,cvar10,churn_rate,sell_trigger_rate,n_defensive_sells,n_turnover_sells,cost_total
0,A1_PARIDADE_US,TRAIN,1240,174768.49011843046,0.12014634464354779,-0.3331145876129449,0.5065938248628452,-0.03309011029924099,-0.025493983373711806,0.7330645161290322,0.22096774193548388,274,635,4432.709644874206
1,A1_PARIDADE_US,TRAIN,1240,168005.26200188004,0.11119793296553171,-0.3106188467483947,0.4785392160392555,-0.03190419403740404,-0.025083025897637924,0.7266129032258064,0.2129032258064516,264,637,4341.147475472799
2,A1_PARIDADE_US,TRAIN,1240,267883.7686268657,0.2217145672392855,-0.3352628520178653,0.8776708196104306,-0.03299739667773102,-0.02511299111988745,0.7040322580645161,0.18306451612903227,227,646,5712.114412138374
3,A1_PARIDADE_US,TRAIN,1240,229401.45986536692,0.18381121210637663,-0.33006620587701896,0.7183895398378742,-0.03464965798577816,-0.026149948221355416,0.6959677419354838,0.17419354838709677,216,647,5802.60057652685
4,A1_PARIDADE_US,TRAIN,1240,218944.66959341383,0.17264006412935706,-0.34139784588304556,0.6847204621863958,-0.034741552452224,-0.026271377663818395,0.7032258064516129,0.18467741935483872,229,643,5222.820879250639
5,A1_PARIDADE_US,TRAIN,1240,185389.87894378544,0.13365784517131885,-0.3092649195101447,0.5439950127412764,-0.03317272264857866,-0.025479457600907796,0.6758064516129032,0.17096774193548386,212,626,4801.699856345604
6,A1_PARIDADE_US,TRAIN,1240,264989.76910167426,0.2190206892279858,-0.3155816086631539,0.8267739348330732,-0.03422741687386505,-0.025864884731203245,0.728225806451613,0.21693548387096775,269,634,5715.095987833849
0,A2_ANY_RULE,TRAIN,1240,168087.6728523677,0.11130868378277214,-0.28994726911281987,0.48893398564135143,-0.030976735833545238,-0.024084445929249708,0.7330645161290322,0.3064516129032258,380,529,5150.848305145141
1,A2_ANY_RULE,TRAIN,1240,217585.39766251686,0.17115688920937955,-0.27116941854976473,0.8061710334219254,-0.027566631045674486,-0.021579680270945818,0.7346774193548387,0.31693548387096776,393,518,6293.517578988542
2,A2_ANY_RULE,TRAIN,1240,256860.7311752504,0.21132630505755845,-0.26274478876357155,0.9611290263517176,-0.029048696727092583,-0.02232821561245071,0.7346774193548387,0.3056451612903226,379,532,6923.509900111357
3,A2_ANY_RULE,TRAIN,1240,215205.91256025224,0.1685426363258542,-0.2968899951962374,0.783558844650149,-0.030045336453257913,-0.023162996919152013,0.7459677419354839,0.2991935483870968,371,554,6889.610304942502
4,A2_ANY_RULE,TRAIN,1240,189468.54785664452,0.1386826577889646,-0.29448969877919096,0.6275625187834472,-0.03134719559068849,-0.02398543069460186,0.7387096774193549,0.3032258064516129,376,540,6080.900261517908
5,A2_ANY_RULE,TRAIN,1240,176955.76194659743,0.12298125052899733,-0.3241198369211453,0.5749980371541582,-0.02950737825964477,-0.023083898128051224,0.7330645161290322,0.3096774193548387,384,525,5994.107865235145
6,A2_ANY_RULE,TRAIN,1240,257786.38590643357,0.21221217242661883,-0.22920083612563114,0.9141207190491034,-0.02969302449163679,-0.02275906358953172,0.7338709677419355,0.31129032258064515,386,524,6902.753314786808
0,V0_BASELINE,TRAIN,1240,165039.63982732422,0.10718336249608207,-0.32455375601062675,0.4605412137526026,-0.03272953739955504,-0.02513982440150232,0.7403225806451613,0.25564516129032255,317,601,4471.7268816225305
1,V0_BASELINE,TRAIN,1240,150142.4846217295,0.08610068134619264,-0.31781093403178784,0.38821280129991914,-0.031360083862872264,-0.02439670370574337,0.7346774193548387,0.2524193548387097,313,598,4233.66444917171
2,V0_BASELINE,TRAIN,1240,282733.132634731,0.23518325351167646,-0.34559719983260084,0.921472973569027,-0.03335316145195039,-0.02522780421640509,0.7169354838709677,0.22419354838709676,278,611,6093.370401127077
3,V0_BASELINE,TRAIN,1240,214993.75826590566,0.16830843374429771,-0.33093022088421353,0.6872779871232972,-0.033518518753284925,-0.025389603612652863,0.7104838709677419,0.2129032258064516,264,617,5799.427597672762
4,V0_BASELINE,TRAIN,1240,233393.1058367617,0.18796866488998054,-0.32539709163647246,0.7592105347560303,-0.033537476241030845,-0.025513737701530724,0.7185483870967742,0.22661290322580646,281,610,5764.137131884207
5,V0_BASELINE,TRAIN,1240,198414.98943262058,0.14940958206664834,-0.30572259811463387,0.6270249455736729,-0.03098602683848893,-0.024059560150074717,0.6959677419354838,0.21693548387096775,269,594,5187.217908462211
6,V0_BASELINE,TRAIN,1240,265503.35759055545,0.2195004680056032,-0.293647000251157,0.8303497943907325,-0.03371425090792245,-0.025455464321732336,0.7419354838709677,0.25806451612903225,320,600,6076.612124847393
