date,phase,arm,ticker,event_type,qty,price,gross,cost,net_settlement,settle_date,reason,score,split
2018-04-09,3,A1_PARIDADE_US,CPFE3,rebalance_buy,409,24.39,9975.51,2.4938775,-9978.0038775,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,A1_PARIDADE_US,EALT4,rebalance_buy,1851,5.4,9995.400000000001,2.4988500000000005,-9997.898850000001,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,A1_PARIDADE_US,GOLL54,rebalance_buy,111,90.0556,9996.1716,2.4990429,-9998.6706429,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,A1_PARIDADE_US,KLBN3,rebalance_buy,1296,7.7129,9995.9184,2.4989796,-9998.417379600001,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,A1_PARIDADE_US,REDE3,rebalance_buy,1782,5.61,9997.02,2.4992550000000002,-9999.519255000001,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,A1_PARIDADE_US,RSUL4,rebalance_buy,1893,5.281,9996.932999999999,2.4992332499999996,-9999.43223325,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,A1_PARIDADE_US,SUZB3,rebalance_buy,270,36.97,9981.9,2.495475,-9984.395475,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,A1_PARIDADE_US,TRIS3,rebalance_buy,4450,2.2462,9995.59,2.4988975,-9998.0888975,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,A1_PARIDADE_US,UNIP3,rebalance_buy,392,25.4545,9978.164,2.4945410000000003,-9980.658541,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-09,3,A1_PARIDADE_US,UNIP5,rebalance_buy,390,25.5909,9980.451000000001,2.49511275,-9982.946112750002,2018-04-09,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,3,A1_PARIDADE_US,REDE3,defensive_sell,1782,5.01,8927.82,2.231955,8925.588045,2018-04-13,A1_DOWNSIDE_SEVERE_I,6.0,TRAIN
2018-04-13,3,A1_PARIDADE_US,KLBN3,defensive_sell,1296,6.901,8943.696,2.2359240000000002,8941.460076,2018-04-17,A1_DOWNSIDE_SEVERE_I,6.0,TRAIN
2018-04-18,3,A1_PARIDADE_US,A2XO34,rebalance_buy,279,8.036069777777778,2242.063468,0.560515867,-2242.623983867,2018-04-18,TARGET_TOPN_ENTRY,,TRAIN
2018-04-18,3,A1_PARIDADE_US,D1EX34,rebalance_buy,1803,1.243767,2242.5119010000003,0.5606279752500001,-2243.0725289752504,2018-04-18,TARGET_TOPN_ENTRY,,TRAIN
2018-04-18,3,A1_PARIDADE_US,E2NP34,rebalance_buy,3898,0.575348,2242.7065039999998,0.5606766259999999,-2243.2671806259996,2018-04-18,TARGET_TOPN_ENTRY,,TRAIN
2018-04-18,3,A1_PARIDADE_US,F1TN34,rebalance_buy,115,19.4569156,2237.545294,0.5593863235000001,-2238.1046803235,2018-04-18,TARGET_TOPN_ENTRY,,TRAIN
2018-04-18,3,A1_PARIDADE_US,M1TC34,rebalance_buy,281,7.9770308000000005,2241.5456548,0.5603864137000001,-2242.1060412137003,2018-04-18,TARGET_TOPN_ENTRY,,TRAIN
2018-04-18,3,A1_PARIDADE_US,NFLX34,rebalance_buy,990,2.2642989759999996,2241.6559862399995,0.5604139965599999,-2242.2164002365594,2018-04-18,TARGET_TOPN_ENTRY,,TRAIN
2018-04-18,3,A1_PARIDADE_US,P2AN34,rebalance_buy,1239,1.8094299753333332,2241.883739438,0.5604709348595,-2242.4442103728593,2018-04-18,TARGET_TOPN_ENTRY,,TRAIN
2018-04-18,3,A1_PARIDADE_US,REDE3,rebalance_buy,442,5.07,2240.94,0.560235,-2241.500235,2018-04-18,TARGET_TOPN_ENTRY,,TRAIN
2018-04-18,3,A1_PARIDADE_US,CPFE3,rebalance_sell,409,24.44,9995.960000000001,2.4989900000000005,9993.46101,2018-04-20,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-18,3,A1_PARIDADE_US,EALT4,rebalance_sell,1851,5.249,9715.899,2.42897475,9713.470025249999,2018-04-20,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-18,3,A1_PARIDADE_US,GOLL54,rebalance_sell,111,89.3873,9921.9903,2.480497575,9919.509802425,2018-04-20,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-18,3,A1_PARIDADE_US,TRIS3,rebalance_sell,4450,2.2577,10046.765,2.5116912499999997,10044.25330875,2018-04-20,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-18,3,A1_PARIDADE_US,UNIP3,rebalance_sell,392,26.8091,10509.1672,2.6272918,10506.5399082,2018-04-20,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-18,3,A1_PARIDADE_US,UNIP5,rebalance_sell,390,26.9091,10494.548999999999,2.62363725,10491.925362749998,2018-04-20,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-27,3,A1_PARIDADE_US,L1UL34,rebalance_buy,705,85.970473,60609.183465,15.15229586625,-60624.335760866255,2018-04-27,TARGET_TOPN_ENTRY,,TRAIN
2018-04-27,3,A1_PARIDADE_US,NFLX34,rebalance_sell,990,2.162117952,2140.49677248,0.53512419312,2139.96164828688,2018-04-30,OUTSIDE_TARGET_TOPN,,TRAIN
2018-05-03,3,A1_PARIDADE_US,M1TC34,defensive_sell,281,6.4350234,1808.2415754,0.45206039385,1807.7895150061502,2018-05-04,A1_DOWNSIDE_SEVERE_I,6.0,TRAIN
2018-05-09,3,A1_PARIDADE_US,B1RF34,rebalance_buy,9,102.32972099999999,920.9674889999999,0.23024187224999998,-921.1977308722498,2018-05-09,TARGET_TOPN_ENTRY,,TRAIN
2018-05-09,3,A1_PARIDADE_US,C1PR34,rebalance_buy,41,24.171667499999998,991.0383674999999,0.247759591875,-991.286127091875,2018-05-09,TARGET_TOPN_ENTRY,,TRAIN
2018-05-09,3,A1_PARIDADE_US,N1RG34,rebalance_buy,8,123.032889,984.263112,0.246065778,-984.509177778,2018-05-09,TARGET_TOPN_ENTRY,,TRAIN
2018-05-09,3,A1_PARIDADE_US,VLOE34,rebalance_buy,4,206.348763,825.395052,0.206348763,-825.601400763,2018-05-09,TARGET_TOPN_ENTRY,,TRAIN
2018-05-09,3,A1_PARIDADE_US,L1UL34,rebalance_sell,705,88.92298199999999,62690.70230999999,15.672675577499998,62675.02963442249,2018-05-10,OUTSIDE_TARGET_TOPN,,TRAIN
2018-05-09,3,A1_PARIDADE_US,REDE3,rebalance_sell,442,5.29,2338.18,0.584545,2337.5954549999997,2018-05-11,OUTSIDE_TARGET_TOPN,,TRAIN
2018-05-09,3,A1_PARIDADE_US,RSUL4,rebalance_sell,1893,5.281,9996.932999999999,2.4992332499999996,9994.433766749999,2018-05-11,OUTSIDE_TARGET_TOPN,,TRAIN
2018-05-18,3,A1_PARIDADE_US,COPH34,rebalance_buy,1154,21.73611375,25083.4752675,6.270868816875001,-25089.746136316877,2018-05-18,TARGET_TOPN_ENTRY,,TRAIN
2018-05-18,3,A1_PARIDADE_US,L1WH34,rebalance_buy,200,125.24126850000002,25048.253700000005,6.262063425000001,-25054.515763425006,2018-05-18,TARGET_TOPN_ENTRY,,TRAIN
2018-05-18,3,A1_PARIDADE_US,OXYP34,rebalance_buy,469,53.391771000000006,25040.740599000004,6.260185149750002,-25047.000784149754,2018-05-18,TARGET_TOPN_ENTRY,,TRAIN
2018-05-18,3,A1_PARIDADE_US,B1RF34,rebalance_sell,9,107.596107,968.364963,0.24209124075,968.12287175925,2018-05-21,OUTSIDE_TARGET_TOPN,,TRAIN
2018-05-18,3,A1_PARIDADE_US,F1TN34,rebalance_sell,115,21.946755600000003,2523.8768940000004,0.6309692235000002,2523.2459247765005,2018-05-21,OUTSIDE_TARGET_TOPN,,TRAIN
