phase,arm,split,n_days,equity_final,cagr,mdd,sharpe_cost_adj,cvar5,cvar10,churn_rate,sell_trigger_rate,n_defensive_sells,n_turnover_sells,cost_total
0,A1_PARIDADE_US,TRAIN,1240,174768.49011843046,0.12014634464354779,-0.3331145876129449,0.5065938248628452,-0.03309011029924099,-0.025493983373711806,0.7330645161290322,0.22096774193548388,274,635,4432.709644874206
1,A1_PARIDADE_US,TRAIN,1240,168005.26200188004,0.11119793296553171,-0.3106188467483947,0.4785392160392555,-0.03190419403740404,-0.025083025897637924,0.7266129032258064,0.2129032258064516,264,637,4341.147475472799
2,A1_PARIDADE_US,TRAIN,1240,267883.7686268657,0.2217145672392855,-0.3352628520178653,0.8776708196104306,-0.03299739667773102,-0.02511299111988745,0.7040322580645161,0.18306451612903227,227,646,5712.114412138374
3,A1_PARIDADE_US,TRAIN,1240,229401.45986536692,0.18381121210637663,-0.33006620587701896,0.7183895398378742,-0.03464965798577816,-0.026149948221355416,0.6959677419354838,0.17419354838709677,216,647,5802.60057652685
4,A1_PARIDADE_US,TRAIN,1240,218944.66959341383,0.17264006412935706,-0.34139784588304556,0.6847204621863958,-0.034741552452224,-0.026271377663818395,0.7032258064516129,0.18467741935483872,229,643,5222.820879250639
5,A1_PARIDADE_US,TRAIN,1240,185389.87894378544,0.13365784517131885,-0.3092649195101447,0.5439950127412764,-0.03317272264857866,-0.025479457600907796,0.6758064516129032,0.17096774193548386,212,626,4801.699856345604
6,A1_PARIDADE_US,TRAIN,1240,264989.76910167426,0.2190206892279858,-0.3155816086631539,0.8267739348330732,-0.03422741687386505,-0.025864884731203245,0.728225806451613,0.21693548387096775,269,634,5715.095987833849
0,A2_ANY_RULE,TRAIN,1240,168087.6728523677,0.11130868378277214,-0.28994726911281987,0.48893398564135143,-0.030976735833545238,-0.024084445929249708,0.7330645161290322,0.3064516129032258,380,529,5150.848305145141
1,A2_ANY_RULE,TRAIN,1240,217585.39766251686,0.17115688920937955,-0.27116941854976473,0.8061710334219254,-0.027566631045674486,-0.021579680270945818,0.7346774193548387,0.31693548387096776,393,518,6293.517578988542
2,A2_ANY_RULE,TRAIN,1240,256860.7311752504,0.21132630505755845,-0.26274478876357155,0.9611290263517176,-0.029048696727092583,-0.02232821561245071,0.7346774193548387,0.3056451612903226,379,532,6923.509900111357
3,A2_ANY_RULE,TRAIN,1240,215205.91256025224,0.1685426363258542,-0.2968899951962374,0.783558844650149,-0.030045336453257913,-0.023162996919152013,0.7459677419354839,0.2991935483870968,371,554,6889.610304942502
4,A2_ANY_RULE,TRAIN,1240,189468.54785664452,0.1386826577889646,-0.29448969877919096,0.6275625187834472,-0.03134719559068849,-0.02398543069460186,0.7387096774193549,0.3032258064516129,376,540,6080.900261517908
5,A2_ANY_RULE,TRAIN,1240,176955.76194659743,0.12298125052899733,-0.3241198369211453,0.5749980371541582,-0.02950737825964477,-0.023083898128051224,0.7330645161290322,0.3096774193548387,384,525,5994.107865235145
6,A2_ANY_RULE,TRAIN,1240,257786.38590643357,0.21221217242661883,-0.22920083612563114,0.9141207190491034,-0.02969302449163679,-0.02275906358953172,0.7338709677419355,0.31129032258064515,386,524,6902.753314786808
0,BASELINE_MOTOR_REAL,TRAIN,1240,165237.7952764701,0.10745339032518308,-0.3546277411679525,0.45271537717790533,-0.033301644496758494,-0.02543033889441744,0.7475806451612903,0.2532258064516129,314,613,4580.003160462274
1,BASELINE_MOTOR_REAL,TRAIN,1240,162581.7256215622,0.10381228250335073,-0.30699811641200214,0.4579511354754961,-0.03191259393154746,-0.0245906693878609,0.7338709677419355,0.2435483870967742,302,608,4421.220519869061
2,BASELINE_MOTOR_REAL,TRAIN,1240,296248.97126742435,0.24696092309927975,-0.36768696272777834,0.8934750886276972,-0.03578526611457702,-0.026533405023229987,0.7016129032258065,0.19838709677419356,246,624,6230.232220331957
3,BASELINE_MOTOR_REAL,TRAIN,1240,231427.37627290352,0.1859284226348572,-0.3321026893157071,0.7427866791150325,-0.03431624784059582,-0.025741008628912,0.6951612903225807,0.18870967741935485,234,628,5861.816914487826
4,BASELINE_MOTOR_REAL,TRAIN,1240,241057.46539029834,0.1957950855070476,-0.3232458648177623,0.7706576649300009,-0.03471665986384537,-0.026089393009633675,0.7120967741935483,0.20725806451612902,257,626,5660.708914488857
5,BASELINE_MOTOR_REAL,TRAIN,1240,194395.10875373078,0.14463839542602308,-0.3140467877994092,0.5952645160737677,-0.032051699736185095,-0.02476642478609255,0.6879032258064516,0.1975806451612903,245,608,5024.053112289619
6,BASELINE_MOTOR_REAL,TRAIN,1240,269848.6640715026,0.22353040188182116,-0.3008748826749501,0.8310936832312298,-0.03456033384716009,-0.025960143447253056,0.7387096774193549,0.24838709677419354,308,608,6128.981508287316
