date,phase,arm,ticker,event_type,qty,price,gross,cost,net_settlement,settle_date,reason,score,split
2018-04-12,6,BASELINE_PRODUCTION,A2XO34,rebalance_buy,1233,8.10711,9996.066630000001,2.4990166575000003,-9998.565646657502,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,BASELINE_PRODUCTION,ENGI11,rebalance_buy,324,30.7636,9967.4064,2.4918516,-9969.8982516,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,BASELINE_PRODUCTION,KLBN3,rebalance_buy,1595,6.2673,9996.343499999999,2.499085875,-9998.842585875,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,BASELINE_PRODUCTION,NFLX34,rebalance_buy,4774,2.0941173,9997.3159902,2.49932899755,-9999.81531919755,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,BASELINE_PRODUCTION,P1YC34,rebalance_buy,794,12.579375599999999,9988.024226399999,2.4970060565999996,-9990.521232456598,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,BASELINE_PRODUCTION,PETR3,rebalance_buy,409,24.39,9975.51,2.4938775,-9978.0038775,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,BASELINE_PRODUCTION,RSUL4,rebalance_buy,1893,5.281,9996.932999999999,2.4992332499999996,-9999.43223325,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,BASELINE_PRODUCTION,SUZB3,rebalance_buy,275,36.35,9996.25,2.4990625,-9998.7490625,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,BASELINE_PRODUCTION,TRIS3,rebalance_buy,4420,2.2615,9995.83,2.4989575,-9998.3289575,2018-04-12,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,6,BASELINE_PRODUCTION,REDE3,rebuy_blocked_spc_gate,0,,0.0,0.0,0.0,2018-04-12,SPC_BC_BLOCKED_ENTRY,,TRAIN
2018-04-13,6,BASELINE_PRODUCTION,KLBN3,defensive_sell,1595,6.901,11007.095,2.75177375,11004.34322625,2018-04-17,MOTOR_REAL_DEFENSIVO,6.0,TRAIN
2018-04-23,6,BASELINE_PRODUCTION,AMER3,rebalance_buy,439,7.9975,3510.9024999999997,0.877725625,-3511.7802256249997,2018-04-23,TARGET_TOPN_ENTRY,,TRAIN
2018-04-23,6,BASELINE_PRODUCTION,BRSR6,rebalance_buy,171,20.42,3491.82,0.872955,-3492.692955,2018-04-23,TARGET_TOPN_ENTRY,,TRAIN
2018-04-23,6,BASELINE_PRODUCTION,D1EX34,rebalance_buy,2783,1.26152965,3510.83701595,0.8777092539875,-3511.7147252039877,2018-04-23,TARGET_TOPN_ENTRY,,TRAIN
2018-04-23,6,BASELINE_PRODUCTION,E2NP34,rebalance_buy,5141,0.68291264,3510.8538822399996,0.8777134705599999,-3511.7315957105598,2018-04-23,TARGET_TOPN_ENTRY,,TRAIN
2018-04-23,6,BASELINE_PRODUCTION,REDE3,rebalance_buy,639,5.49,3508.11,0.8770275000000001,-3508.9870275000003,2018-04-23,TARGET_TOPN_ENTRY,,TRAIN
2018-04-23,6,BASELINE_PRODUCTION,SHOW3,rebalance_buy,33,106.0,3498.0,0.8745,-3498.8745,2018-04-23,TARGET_TOPN_ENTRY,,TRAIN
2018-04-23,6,BASELINE_PRODUCTION,ENGI11,rebalance_sell,324,30.9182,10017.496799999999,2.5043742,10014.9924258,2018-04-25,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-23,6,BASELINE_PRODUCTION,P1YC34,rebalance_sell,794,13.088011566666665,10391.881183933332,2.597970295983333,10389.283213637349,2018-04-24,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-23,6,BASELINE_PRODUCTION,PETR3,rebalance_sell,409,24.35,9959.150000000001,2.4897875000000003,9956.6602125,2018-04-25,OUTSIDE_TARGET_TOPN,,TRAIN
2018-04-23,6,BASELINE_PRODUCTION,TRIS3,rebalance_sell,4420,2.2423,9910.966,2.4777415,9908.4882585,2018-04-25,OUTSIDE_TARGET_TOPN,,TRAIN
2018-05-03,6,BASELINE_PRODUCTION,C1PR34,rebalance_buy,347,23.188794,8046.511518,2.0116278795,-8048.523145879501,2018-05-03,TARGET_TOPN_ENTRY,,TRAIN
2018-05-03,6,BASELINE_PRODUCTION,P2AN34,rebalance_buy,4227,1.906478438,8058.684357426,2.0146710893565,-8060.699028515357,2018-05-03,TARGET_TOPN_ENTRY,,TRAIN
