phase,arm,split,n_days,equity_final,cagr,mdd,sharpe_cost_adj,cvar5,cvar10,churn_rate,sell_trigger_rate,n_defensive_sells,n_turnover_sells,cost_total
0,A2_E2E,TRAIN,1240,161459.01749548718,0.10225893974314082,-0.2559960151748987,0.6022940453694465,-0.023138348396422457,-0.018731365925267987,0.49112903225806454,0.1596774193548387,198,411,3638.109176520097
1,A2_E2E,TRAIN,1240,191359.13827877602,0.1409826284787068,-0.22053830193229895,0.7964817570647561,-0.02374798048787573,-0.018580583524480866,0.4774193548387097,0.1685483870967742,209,383,3890.9396325246425
2,A2_E2E,TRAIN,1240,226583.71572939312,0.18084158192879674,-0.191134134534658,1.0102618710212885,-0.02338003483249862,-0.018297667339820835,0.4870967741935484,0.15564516129032258,193,411,4292.319997434075
3,A2_E2E,TRAIN,1240,171722.74579491446,0.11615131158211489,-0.24151011247607446,0.678845798674713,-0.025066496486295758,-0.019329035299082923,0.4830645161290323,0.15564516129032258,193,406,3739.4718496702985
4,A2_E2E,TRAIN,1240,194172.5804946422,0.1443719887219055,-0.2406321243341334,0.7905768914795893,-0.025462041298687305,-0.019578572251673886,0.4814516129032258,0.1629032258064516,202,395,4019.3662242447585
5,A2_E2E,TRAIN,1240,170560.19129174127,0.11461152004192932,-0.27481300403899767,0.6431076032873814,-0.02426540762743701,-0.019040080339332216,0.49274193548387096,0.1693548387096774,210,401,3973.723008070846
6,A2_E2E,TRAIN,1240,215996.15456784997,0.16941338924291793,-0.19772233833080666,0.9215328700327344,-0.023275187677371266,-0.018235258128586042,0.49274193548387096,0.17096774193548386,212,399,4185.2330546381645
0,BASELINE_PRODUCTION,TRAIN,1240,168442.12046175712,0.11178452845925002,-0.3211509817724766,0.61032830425931,-0.025093668484093244,-0.020120863376410312,0.4967741935483871,0.11612903225806452,144,472,3577.645080608674
1,BASELINE_PRODUCTION,TRAIN,1240,195430.46634911356,0.14587472045978167,-0.2713099913999756,0.7536247262177064,-0.026508321210485086,-0.02065943259738765,0.4790322580645161,0.1217741935483871,151,443,3605.5848082623306
2,BASELINE_PRODUCTION,TRAIN,1240,282705.251694776,0.23515849879165263,-0.23342212832702136,1.183551322412922,-0.02557047642230354,-0.020000371714268928,0.4830645161290323,0.10564516129032259,131,468,4609.758360298586
3,BASELINE_PRODUCTION,TRAIN,1240,212638.00648317722,0.165695404895829,-0.266044396313582,0.854407015111385,-0.027272367078088586,-0.020952679825756916,0.47258064516129034,0.10403225806451613,129,457,3910.5976757769417
4,BASELINE_PRODUCTION,TRAIN,1240,189097.41471493107,0.13822901569399715,-0.24453196164667368,0.7116981353901358,-0.02722093099787648,-0.02119649608604872,0.49193548387096775,0.11209677419354838,139,471,3531.184611586693
5,BASELINE_PRODUCTION,TRAIN,1240,162978.98773992137,0.10435987457871265,-0.3288993481433218,0.5344562215046335,-0.02702740999330207,-0.021097270077332322,0.4935483870967742,0.11290322580645161,140,472,3567.387113560791
6,BASELINE_PRODUCTION,TRAIN,1240,204888.44762143033,0.15693348091244008,-0.27044806358374385,0.7907144749150589,-0.026038961521138302,-0.02031612882918561,0.5016129032258064,0.11935483870967742,148,474,3994.9562686688087
